Spot,date,time,range,height_ft,swell_dir,swell_angle,period_sec,wind_kmh,wind_dir,wind,wind_angle,temp_°c,Conditions,Location,Longitud,Latitude
Nazare,01/01,6am,7-11ft,5.0,NW,306,11,4,ESE,Offshore,115,6,Good,"(39.60643329877418, -9.069326904868202)",-9.069326904868202,39.60643329877418
Nazare,01/01,12pm,7-11ft,5.0,NW,310,10,6,SE,Offshore,144,13,Good,"(39.60643329877418, -9.069326904868202)",-9.069326904868202,39.60643329877418
Nazare,01/01,6pm,6-10ft,4.5,NW,309,10,1,S,Offshore,171,8,Good,"(39.60643329877418, -9.069326904868202)",-9.069326904868202,39.60643329877418
Nazare,02/01,6am,4-7ft,2.5,NW,322,10,6,SE,Offshore,129,6,Good,"(39.60643329877418, -9.069326904868202)",-9.069326904868202,39.60643329877418
Nazare,02/01,12pm,5-8ft,3.0,W,276,12,9,SSE,Offshore,156,11,Good,"(39.60643329877418, -9.069326904868202)",-9.069326904868202,39.60643329877418
Nazare,02/01,6pm,7-11ft,3.5,W,276,19,5,SE,Offshore,128,11,Good,"(39.60643329877418, -9.069326904868202)",-9.069326904868202,39.60643329877418
Nazare,03/01,6am,12-18ft,8.0,W,280,15,8,SSE,Offshore,151,10,Good,"(39.60643329877418, -9.069326904868202)",-9.069326904868202,39.60643329877418
Nazare,03/01,12pm,12-18ft,8.5,W,280,14,6,SSE,Offshore,160,13,Good,"(39.60643329877418, -9.069326904868202)",-9.069326904868202,39.60643329877418
Nazare,03/01,6pm,12-18ft,8.0,WNW,283,14,2,W,Onshore,260,10,Good,"(39.60643329877418, -9.069326904868202)",-9.069326904868202,39.60643329877418
Nazare,04/01,6am,10-16ft,7.0,WNW,292,13,5,NE,Cross/Offshore,47,9,Good,"(39.60643329877418, -9.069326904868202)",-9.069326904868202,39.60643329877418
Nazare,04/01,12pm,10-16ft,7.0,WNW,298,12,2,SSW,Cross/Offshore,192,15,Good,"(39.60643329877418, -9.069326904868202)",-9.069326904868202,39.60643329877418
Nazare,04/01,6pm,9-14ft,6.0,WNW,302,12,3,N,Cross/Onshore,4,10,Good,"(39.60643329877418, -9.069326904868202)",-9.069326904868202,39.60643329877418
