date,time,range,height,period,wind_mph,wind_kmh,mph,temp,prob,swell_dir,swell_angle,wind,wind_dir,wind_angle
01/01,6am,1ft,1ft,5s,3,3,mph,9°c,100%,N,7,Onshore,ENE,72
01/01,12pm,1ft,0.9ft,10s,4,3,mph,10°c,100%,NW,318,Onshore,NNE,14
01/01,6pm,1ft,1ft,4s,5,5,mph,9°c,100%,N,9,Onshore,NE,36
02/01,6am,1ft,0.7ft,13s,9,9,mph,8°c,100%,NW,312,Onshore,E,81
02/01,12pm,1ft,1.1ft,12s,10,12,mph,9°c,100%,WNW,301,Onshore,E,83
02/01,6pm,1-2ft,1.7ft,4s,13,16,mph,10°c,100%,NNE,23,Onshore,ENE,76
03/01,6am,2ft,3ft,5s,13,14,mph,7°c,100%,NE,35,Onshore,E,82
03/01,12pm,2ft,2.5ft,5s,11,12,mph,7°c,100%,NE,35,Onshore,ENE,76
03/01,6pm,1-2ft,2.5ft,5s,12,14,mph,9°c,100%,NNE,33,Onshore,E,80
04/01,6am,2ft,2.5ft,6s,6,7,mph,6°c,100%,NNE,20,Onshore,E,81
04/01,12pm,1-2ft,2ft,6s,6,5,mph,7°c,100%,NNE,17,Onshore,NE,56
04/01,6pm,1-2ft,1.7ft,14s,6,6,mph,7°c,100%,WNW,298,Onshore,E,82
05/01,6am,1-2ft,1.6ft,13s,4,4,mph,7°c,100%,WNW,300,Cross/Onshore,ESE,112
05/01,12pm,1-2ft,1.5ft,12s,4,4,mph,8°c,100%,WNW,301,Onshore,ENE,64
05/01,6pm,1-2ft,1.4ft,12s,5,5,mph,9°c,100%,WNW,302,Onshore,ENE,66
06/01,6am,1-2ft,1.2ft,11s,3,5,mph,7°c,100%,WNW,303,Onshore,ENE,61
06/01,12pm,2-3ft,2ft,17s,6,5,mph,7°c,100%,WNW,299,Onshore,NE,36
06/01,6pm,3-4ft,3.5ft,15s,7,7,mph,6°c,100%,WNW,298,Onshore,NE,50
07/01,6am,2-4ft,4ft,14s,10,11,mph,6°c,100%,WNW,297,Onshore,ENE,71
07/01,12pm,3-4ft,4ft,13s,7,7,mph,6°c,100%,WNW,299,Cross/Offshore,SE,136
07/01,6pm,2-4ft,3.5ft,13s,5,7,mph,7°c,100%,WNW,301,Cross/Onshore,E,100
08/01,6am,2-3ft,3ft,12s,4,3,mph,7°c,100%,NW,305,Offshore,SSW,196
08/01,12pm,2-3ft,2.5ft,12s,5,5,mph,9°c,100%,NW,306,Offshore,SW,231
08/01,6pm,2-3ft,2ft,11s,11,13,mph,11°c,100%,NW,308,Cross/Offshore,W,280
09/01,6am,2-3ft,3ft,5s,13,16,mph,12°c,100%,NNW,337,Cross/Onshore,NW,322
09/01,12pm,2-3ft,3ft,6s,14,15,mph,11°c,100%,NNW,341,Onshore,N,1
09/01,6pm,2-3ft,3ft,6s,16,17,mph,10°c,100%,NNW,341,Onshore,N,1
10/01,6am,2ft,2.5ft,5s,17,18,mph,9°c,100%,NNE,26,Onshore,NE,43
10/01,12pm,2ft,2.5ft,5s,16,16,mph,8°c,100%,NNE,27,Onshore,NE,46
10/01,6pm,2ft,2.5ft,5s,17,18,mph,8°c,100%,NNE,18,Onshore,NNE,31
11/01,6am,2-3ft,2.5ft,5s,10,13,mph,8°c,100%,NNE,15,Onshore,NE,52
11/01,12pm,1-2ft,1.9ft,5s,6,7,mph,8°c,100%,NNE,12,Onshore,ENE,77
11/01,6pm,1ft,1.3ft,13s,4,4,mph,8°c,100%,WNW,292,Offshore,SSW,213
12/01,6am,1-2ft,1.3ft,14s,8,10,mph,10°c,100%,WNW,293,Offshore,W,259
12/01,12pm,1-2ft,1.5ft,14s,9,12,mph,11°c,100%,WNW,294,Cross/Onshore,NW,306
12/01,6pm,1-2ft,1.5ft,13s,13,14,mph,11°c,100%,WNW,289,Onshore,NNW,348
13/01,6am,1-2ft,2ft,5s,16,20,mph,11°c,100%,NW,322,Offshore,W,268
13/01,12pm,2-3ft,3.5ft,6s,16,22,mph,11°c,100%,NW,323,Offshore,W,260
13/01,6pm,2-3ft,4ft,6s,17,23,mph,12°c,100%,NW,318,Cross/Offshore,W,275
14/01,6am,2-4ft,4ft,7s,16,22,mph,12°c,100%,NW,323,Cross/Offshore,W,276
14/01,12pm,2-4ft,4ft,7s,12,16,mph,12°c,100%,NNW,329,Cross/Offshore,WNW,292
14/01,6pm,3-4ft,3.5ft,9s,8,10,mph,12°c,100%,NNW,330,Cross/Offshore,W,279
15/01,6am,2-4ft,3ft,9s,8,9,mph,11°c,100%,NNW,328,Cross/Onshore,E,95
15/01,12pm,2-3ft,3ft,9s,8,7,mph,9°c,100%,NW,321,Onshore,E,83
15/01,6pm,2-3ft,3ft,9s,11,12,mph,10°c,100%,NW,319,Onshore,E,86
16/01,6am,2-3ft,2ft,10s,9,11,mph,11°c,100%,NW,320,Offshore,SW,227
16/01,12pm,2ft,1.9ft,10s,9,10,mph,12°c,100%,NW,321,Offshore,W,270
16/01,6pm,2ft,1.9ft,10s,7,8,mph,12°c,100%,NW,318,Offshore,SW,224
17/01,6am,3-4ft,3.5ft,14s,19,23,mph,12°c,100%,NW,309,Cross-shore,WNW,297
17/01,12pm,4-7ft,6.5ft,14s,22,25,mph,11°c,100%,NW,311,Cross/Offshore,W,279
17/01,6pm,5-7ft,7ft,13s,14,16,mph,11°c,100%,NW,313,Cross/Offshore,WNW,291
18/01,6am,5-8ft,8ft,13s,11,12,mph,9°c,100%,NW,314,Offshore,SW,225
18/01,12pm,4-7ft,7ft,12s,7,8,mph,10°c,100%,NW,312,Offshore,SW,228
18/01,6pm,4-6ft,6ft,12s,8,10,mph,10°c,100%,NW,311,Offshore,S,180
19/01,6am,3-5ft,5.5ft,11s,14,19,mph,10°c,100%,NW,308,Offshore,SW,227
19/01,12pm,4-6ft,5.5ft,15s,11,16,mph,11°c,100%,NW,307,Offshore,S,189
19/01,6pm,5-7ft,8ft,14s,10,17,mph,12°c,100%,NW,307,Offshore,SSE,157
20/01,6am,4-6ft,6.5ft,13s,14,19,mph,11°c,100%,NW,306,Cross/Onshore,NW,309
20/01,12pm,4-6ft,6.5ft,13s,17,20,mph,12°c,100%,NW,307,Cross/Onshore,NW,315
20/01,6pm,4-6ft,6.5ft,12s,14,18,mph,11°c,100%,NW,310,Onshore,NNW,341
21/01,6am,4-6ft,6ft,11s,15,15,mph,10°c,100%,NW,315,Onshore,N,359
21/01,12pm,4-6ft,6ft,11s,13,14,mph,9°c,100%,NW,313,Onshore,NNW,337
21/01,6pm,4-6ft,5.5ft,11s,13,14,mph,9°c,100%,NW,313,Cross/Onshore,NW,314
22/01,6am,4-6ft,5.5ft,14s,15,21,mph,9°c,100%,NW,316,Offshore,SW,229
22/01,12pm,4-7ft,6ft,13s,26,31,mph,10°c,100%,NW,315,Cross/Offshore,WNW,290
22/01,6pm,4-6ft,7.5ft,8s,24,29,mph,10°c,100%,NW,310,Cross/Offshore,WNW,285
23/01,6am,8-12ft,14ft,14s,37,47,mph,13°c,100%,NW,314,Cross/Onshore,NW,312
23/01,12pm,9-14ft,16ft,15s,34,41,mph,12°c,100%,NW,316,Cross/Onshore,NW,321
23/01,6pm,9-14ft,15.5ft,15s,34,42,mph,12°c,100%,NW,317,Onshore,NW,325
24/01,6am,7-11ft,12ft,14s,18,20,mph,10°c,100%,NW,320,Onshore,NNE,13
24/01,12pm,6-10ft,9.5ft,13s,3,3,mph,8°c,100%,NW,318,Cross-shore,SE,124
24/01,6pm,5-8ft,8.5ft,13s,5,5,mph,8°c,100%,NW,315,Offshore,WSW,237
25/01,6am,5-8ft,8.5ft,12s,23,31,mph,12°c,100%,NW,314,Cross/Onshore,NW,315
25/01,12pm,5-8ft,8.5ft,12s,23,29,mph,12°c,100%,NW,315,Cross-shore,WNW,302
25/01,6pm,4-7ft,7.5ft,11s,18,23,mph,12°c,100%,NW,315,Cross/Offshore,WNW,294
26/01,6am,3-5ft,5.5ft,11s,10,11,mph,11°c,100%,NW,312,Offshore,WSW,242
26/01,12pm,4-6ft,5.5ft,14s,5,5,mph,11°c,100%,NW,306,Offshore,W,264
26/01,6pm,3-5ft,5ft,13s,10,13,mph,11°c,100%,WNW,303,Cross/Offshore,WNW,294
27/01,6am,5-7ft,12ft,9s,41,51,mph,12°c,100%,WNW,301,Cross/Offshore,W,280
27/01,12pm,8-13ft,18ft,12s,40,49,mph,12°c,100%,NW,311,Cross/Onshore,NW,308
27/01,6pm,10-16ft,18.5ft,14s,34,41,mph,11°c,100%,NW,318,Cross/Onshore,NW,307
28/01,6am,8-12ft,15.5ft,13s,40,51,mph,12°c,100%,NW,310,Cross-shore,WNW,299
28/01,12pm,8-12ft,16ft,12s,38,46,mph,12°c,100%,NW,314,Cross/Onshore,NW,308
28/01,6pm,7-11ft,13.5ft,12s,30,37,mph,12°c,100%,NW,318,Cross/Onshore,NW,313
29/01,6am,5-7ft,8.5ft,11s,18,25,mph,10°c,100%,NW,316,Offshore,WSW,256
29/01,12pm,4-7ft,7ft,11s,20,41,mph,12°c,100%,NW,314,Offshore,SW,227
29/01,6pm,7-10ft,16ft,11s,42,52,mph,12°c,100%,NW,306,Cross/Offshore,WNW,293
30/01,6am,8-12ft,15ft,12s,30,36,mph,10°c,100%,NW,317,Cross/Offshore,WNW,287
30/01,12pm,7-11ft,13ft,12s,22,28,mph,11°c,100%,NW,316,Offshore,W,262
30/01,6pm,7-11ft,11.5ft,13s,7,15,mph,12°c,100%,NW,318,Offshore,S,174
31/01,6am,6-10ft,9.5ft,14s,11,20,mph,13°c,100%,NW,318,Offshore,SSW,211
31/01,12pm,6-9ft,9ft,14s,14,20,mph,14°c,100%,NW,315,Offshore,SW,220
31/01,6pm,5-8ft,9ft,13s,15,29,mph,12°c,100%,NW,312,Cross/Offshore,W,279
01/02,6am,5-8ft,10.5ft,12s,24,35,mph,12°c,100%,NW,307,Offshore,SW,223
01/02,12pm,6-9ft,11.5ft,13s,16,25,mph,12°c,100%,NW,304,Offshore,SW,233
01/02,6pm,7-10ft,14ft,15s,11,13,mph,11°c,100%,WNW,302,Cross-shore,WNW,300
02/02,6am,8-12ft,15.5ft,16s,40,47,mph,10°c,100%,WNW,303,Onshore,NNW,327
02/02,12pm,9-14ft,17ft,14s,32,38,mph,10°c,100%,NW,314,Onshore,NNW,333
02/02,6pm,7-12ft,13.5ft,13s,29,34,mph,10°c,100%,NW,321,Onshore,NNW,336
03/02,6am,5-8ft,8.5ft,9s,25,28,mph,9°c,100%,NNW,335,Onshore,N,351
03/02,12pm,4-7ft,7ft,9s,16,18,mph,9°c,100%,NNW,332,Onshore,N,355
03/02,6pm,4-6ft,5.5ft,11s,4,5,mph,9°c,100%,NW,325,Onshore,N,354
04/02,6am,2-4ft,3.5ft,10s,9,10,mph,7°c,100%,NW,315,Offshore,SSE,166
04/02,12pm,2-3ft,3ft,10s,6,8,mph,10°c,100%,NW,312,Offshore,SSW,198
