date,time,range,height,period,wind_mph,wind_kmh,mph,temp,prob,swell_dir,swell_angle,wind,wind_dir,wind_angle
01/01,6am,20-30ft,15.5ft,15s,5,6,mph,8°c,100%,WNW,292,Cross/Offshore,S,186
01/01,12pm,18-28ft,14.5ft,15s,10,14,mph,15°c,100%,WNW,292,Onshore,W,277
01/01,6pm,18-26ft,13.5ft,14s,4,6,mph,11°c,100%,WNW,293,Onshore,WSW,253
02/01,6am,16-26ft,12.5ft,14s,4,5,mph,10°c,100%,WNW,297,Cross-shore,SSW,207
02/01,12pm,14-24ft,11.5ft,14s,7,11,mph,16°c,100%,WNW,297,Onshore,WSW,258
02/01,6pm,14-20ft,10ft,13s,5,10,mph,14°c,100%,WNW,297,Onshore,WSW,239
03/01,6am,12-18ft,9ft,12s,3,4,mph,14°c,100%,WNW,296,Onshore,WNW,291
03/01,12pm,14-24ft,8.5ft,20s,5,8,mph,17°c,100%,WNW,291,Onshore,WNW,286
03/01,6pm,20-30ft,14ft,17s,4,5,mph,14°c,100%,WNW,296,Onshore,W,281
04/01,6am,18-28ft,13.5ft,16s,4,5,mph,12°c,100%,WNW,300,Onshore,W,261
04/01,12pm,16-24ft,11.5ft,15s,9,11,mph,17°c,100%,WNW,300,Onshore,WSW,250
04/01,6pm,14-22ft,10.5ft,14s,7,18,mph,13°c,100%,WNW,299,Onshore,SW,232
05/01,6am,14-22ft,11ft,13s,12,25,mph,13°c,100%,WNW,293,Cross/Onshore,SW,214
05/01,12pm,14-22ft,11.5ft,13s,11,19,mph,12°c,100%,WNW,293,Onshore,NW,319
05/01,6pm,14-22ft,11.5ft,13s,8,20,mph,9°c,100%,WNW,298,Onshore,N,357
06/01,6am,16-26ft,13.5ft,13s,9,22,mph,7°c,100%,WNW,300,Onshore,N,349
06/01,12pm,16-24ft,12.5ft,13s,12,19,mph,10°c,100%,WNW,299,Onshore,N,352
06/01,6pm,14-24ft,11.5ft,13s,11,22,mph,8°c,100%,WNW,302,Onshore,NNW,341
07/01,6am,18-28ft,14ft,16s,13,26,mph,7°c,100%,WNW,304,Onshore,N,354
07/01,12pm,16-26ft,13.5ft,14s,17,26,mph,11°c,100%,NW,311,Onshore,N,354
07/01,6pm,16-24ft,13ft,13s,14,26,mph,9°c,100%,NW,316,Onshore,N,351
08/01,6am,12-18ft,9.5ft,11s,5,6,mph,4°c,100%,NW,318,Offshore,NE,51
08/01,12pm,9-14ft,6.5ft,11s,4,8,mph,11°c,100%,NW,307,Offshore,ESE,101
08/01,6pm,8-12ft,3.5ft,19s,1,2,mph,6°c,100%,W,273,Onshore,W,268
09/01,6am,10-16ft,5.5ft,16s,8,18,mph,6°c,100%,W,276,Offshore,SSE,149
09/01,12pm,10-16ft,6ft,16s,11,28,mph,8°c,100%,W,280,Offshore,SSE,151
09/01,6pm,12-18ft,7ft,16s,2,3,mph,10°c,100%,W,279,Offshore,SSE,147
10/01,6am,18-28ft,13ft,15s,6,17,mph,10°c,100%,WNW,288,Onshore,WSW,259
10/01,12pm,18-28ft,14ft,15s,18,31,mph,14°c,100%,WNW,286,Onshore,W,272
10/01,6pm,20-30ft,16ft,14s,11,23,mph,10°c,100%,WNW,291,Onshore,NW,314
11/01,6am,20-30ft,16ft,15s,12,25,mph,11°c,100%,WNW,290,Onshore,WNW,304
11/01,12pm,18-28ft,14.5ft,14s,13,18,mph,14°c,100%,WNW,292,Onshore,NNW,328
11/01,6pm,16-26ft,13ft,14s,5,9,mph,9°c,100%,WNW,293,Onshore,N,353
12/01,6am,12-18ft,8.5ft,13s,3,4,mph,6°c,100%,WNW,287,Offshore,SE,129
12/01,12pm,10-16ft,6.5ft,13s,6,9,mph,11°c,100%,WNW,287,Offshore,SSE,150
12/01,6pm,8-13ft,5.5ft,12s,7,16,mph,10°c,100%,WNW,285,Offshore,SSE,167
13/01,6am,14-20ft,10ft,13s,1,2,mph,9°c,100%,W,280,Offshore,SE,133
13/01,12pm,14-20ft,10.5ft,13s,11,16,mph,12°c,100%,WNW,284,Onshore,NW,317
13/01,6pm,14-22ft,11ft,13s,8,21,mph,9°c,100%,WNW,283,Onshore,WNW,282
14/01,6am,16-24ft,11.5ft,14s,6,15,mph,7°c,100%,WNW,286,Onshore,NW,324
14/01,12pm,14-22ft,10.5ft,13s,9,13,mph,11°c,100%,WNW,289,Onshore,NW,317
14/01,6pm,14-22ft,10ft,13s,3,4,mph,7°c,100%,WNW,292,Onshore,NNW,346
15/01,6am,10-18ft,8ft,12s,3,4,mph,4°c,100%,WNW,298,Offshore,ENE,59
15/01,12pm,10-16ft,7ft,12s,4,8,mph,11°c,100%,WNW,300,Cross/Onshore,N,3
15/01,6pm,9-14ft,6ft,11s,4,5,mph,7°c,100%,WNW,300,Onshore,NNW,333
16/01,6am,8-12ft,5.5ft,11s,3,4,mph,11°c,100%,WNW,301,Onshore,WSW,246
16/01,12pm,10-18ft,7.5ft,13s,4,7,mph,13°c,100%,NW,307,Onshore,NW,323
16/01,6pm,16-24ft,10.5ft,15s,5,13,mph,13°c,100%,NW,309,Onshore,NNW,326
