date,time,range,height,period,wind_mph,wind_kmh,mph,temp,prob,swell_dir,swell_angle,wind,wind_dir,wind_angle
01/01,6am,3-5ft,1.9ft,12s,6,6,mph,20°c,100%,S,190,Offshore,NNE,14
01/01,12pm,3-5ft,2ft,12s,6,5,mph,31°c,100%,S,188,Onshore,SSW,210
01/01,6pm,3-5ft,2ft,12s,2,2,mph,22°c,100%,S,188,Onshore,SW,232
02/01,6am,3-4ft,1.7ft,11s,5,6,mph,21°c,100%,S,187,Offshore,NNE,15
02/01,12pm,2-4ft,1.7ft,11s,5,4,mph,32°c,100%,S,186,Onshore,S,191
02/01,6pm,2-4ft,1.7ft,11s,3,4,mph,23°c,100%,S,185,Onshore,S,184
03/01,6am,3-4ft,1.5ft,16s,5,6,mph,21°c,100%,S,190,Offshore,NNE,15
03/01,12pm,4-6ft,2ft,16s,6,4,mph,31°c,100%,SSW,192,Onshore,SSW,197
03/01,6pm,4-6ft,2.5ft,15s,2,3,mph,23°c,100%,S,190,Onshore,SSW,198
04/01,6am,4-6ft,2.5ft,15s,4,5,mph,21°c,100%,S,190,Offshore,NNE,16
04/01,12pm,4-6ft,2.5ft,14s,6,3,mph,31°c,100%,SSW,192,Onshore,SSW,199
04/01,6pm,4-6ft,2.5ft,13s,3,4,mph,24°c,100%,SSW,194,Onshore,SW,223
05/01,6am,3-5ft,2ft,15s,5,6,mph,21°c,100%,SSW,210,Offshore,NNE,18
05/01,12pm,3-5ft,1.9ft,15s,6,4,mph,30°c,100%,SW,214,Onshore,S,191
05/01,6pm,4-6ft,2ft,15s,3,4,mph,24°c,100%,SSW,212,Onshore,SW,219
06/01,6am,3-5ft,1.9ft,14s,4,5,mph,21°c,100%,SW,215,Offshore,NNE,18
06/01,12pm,3-5ft,1.9ft,14s,8,7,mph,30°c,100%,SSW,213,Onshore,S,186
06/01,6pm,3-4ft,2ft,11s,3,3,mph,23°c,100%,S,182,Onshore,SSW,210
07/01,6am,3-4ft,1.6ft,13s,5,5,mph,21°c,100%,SW,216,Offshore,NNE,21
07/01,12pm,3-4ft,1.7ft,13s,7,5,mph,30°c,100%,SW,215,Onshore,S,188
07/01,6pm,3-4ft,1.6ft,13s,3,4,mph,23°c,100%,SW,216,Onshore,S,179
08/01,6am,3-4ft,1.6ft,13s,5,6,mph,20°c,100%,SW,215,Offshore,NNE,16
08/01,12pm,3-4ft,1.6ft,14s,5,6,mph,30°c,100%,SW,215,Onshore,SSW,199
08/01,6pm,2-4ft,1.2ft,16s,4,5,mph,23°c,100%,SSW,213,Onshore,SSW,199
09/01,6am,2-4ft,1.5ft,13s,6,6,mph,20°c,100%,SW,216,Offshore,NNE,15
09/01,12pm,3-4ft,1.5ft,13s,3,8,mph,32°c,100%,SW,215,Onshore,S,176
09/01,6pm,3-5ft,1.8ft,15s,4,4,mph,24°c,100%,SSW,213,Onshore,SW,224
10/01,6am,3-5ft,1.8ft,15s,7,10,mph,21°c,100%,SSW,213,Offshore,NNE,17
10/01,12pm,3-5ft,2ft,14s,2,6,mph,34°c,100%,SW,214,Onshore,SSW,202
10/01,6pm,3-5ft,1.8ft,14s,3,4,mph,24°c,100%,SW,214,Onshore,SSW,205
11/01,6am,3-5ft,1.8ft,13s,5,6,mph,20°c,100%,SSW,212,Offshore,NNE,19
11/01,12pm,3-4ft,1.6ft,13s,6,4,mph,30°c,100%,SSW,214,Onshore,SSW,194
11/01,6pm,3-4ft,1.5ft,13s,3,3,mph,23°c,100%,SSW,214,Onshore,S,190
12/01,6am,3-4ft,1.3ft,16s,4,5,mph,20°c,100%,SSW,199,Offshore,NNE,18
12/01,12pm,3-4ft,1.3ft,18s,5,4,mph,29°c,100%,SW,218,Onshore,S,191
12/01,6pm,4-6ft,1.9ft,18s,3,4,mph,23°c,100%,SW,217,Onshore,SSW,201
13/01,6am,3-5ft,1.8ft,14s,5,6,mph,20°c,100%,SSW,205,Offshore,NNE,13
13/01,12pm,3-5ft,1.8ft,16s,4,5,mph,31°c,100%,SW,217,Onshore,SSW,210
13/01,6pm,4-6ft,2ft,16s,4,6,mph,23°c,100%,SW,217,Onshore,SSW,207
14/01,6am,4-6ft,2ft,16s,7,10,mph,20°c,100%,SW,217,Offshore,NNE,17
14/01,12pm,3-5ft,2ft,15s,3,7,mph,33°c,100%,SW,217,Cross/Onshore,SE,134
14/01,6pm,3-5ft,2ft,15s,2,3,mph,24°c,100%,SW,215,Onshore,SW,215
15/01,6am,3-5ft,2ft,15s,7,11,mph,20°c,100%,SW,216,Offshore,NNE,17
15/01,12pm,3-5ft,2ft,14s,3,5,mph,33°c,100%,SW,216,Onshore,S,176
15/01,6pm,3-5ft,1.7ft,14s,3,4,mph,24°c,100%,SW,215,Onshore,SSW,206
16/01,6am,4-6ft,2ft,19s,6,8,mph,21°c,100%,SW,215,Offshore,NNE,17
16/01,12pm,4-6ft,1.9ft,19s,3,6,mph,33°c,100%,SW,216,Onshore,S,183
16/01,6pm,3-5ft,1.7ft,19s,3,4,mph,24°c,100%,SW,214,Onshore,SSW,203
17/01,6am,5-8ft,3ft,17s,6,6,mph,21°c,100%,SW,215,Offshore,NNE,18
17/01,12pm,5-8ft,3ft,18s,5,6,mph,31°c,100%,SW,215,Onshore,S,185
17/01,6pm,5-7ft,2.5ft,17s,3,4,mph,24°c,100%,SW,214,Onshore,SSW,208
18/01,6am,5-9ft,3.5ft,16s,5,6,mph,20°c,100%,SSW,213,Offshore,NNE,17
18/01,12pm,6-9ft,3.5ft,16s,5,5,mph,31°c,100%,SSW,212,Onshore,SSW,203
18/01,6pm,5-8ft,3.5ft,16s,3,4,mph,24°c,100%,SSW,211,Onshore,S,190
19/01,6am,5-8ft,3ft,15s,4,5,mph,21°c,100%,SSW,210,Offshore,NNE,16
19/01,12pm,5-8ft,3ft,15s,6,4,mph,30°c,100%,SSW,210,Onshore,SSW,197
19/01,6pm,5-8ft,3ft,14s,4,5,mph,24°c,100%,SSW,209,Onshore,SSW,195
20/01,6am,4-6ft,2.5ft,13s,6,7,mph,21°c,100%,SSW,209,Offshore,NNE,14
20/01,12pm,4-6ft,2.5ft,13s,2,7,mph,34°c,100%,SSW,209,Offshore,ENE,73
20/01,6pm,3-5ft,2ft,13s,3,5,mph,24°c,100%,SSW,208,Onshore,SSW,208
21/01,6am,3-4ft,1.8ft,12s,7,8,mph,19°c,100%,SSW,209,Offshore,NNE,17
21/01,12pm,3-4ft,1.6ft,12s,5,4,mph,30°c,100%,SSW,210,Onshore,SSW,195
21/01,6pm,3-4ft,1.5ft,15s,3,4,mph,23°c,100%,SW,215,Onshore,SSW,203
22/01,6am,3-5ft,1.9ft,15s,5,6,mph,20°c,100%,SSW,213,Offshore,NNE,14
22/01,12pm,3-4ft,1.5ft,14s,5,4,mph,31°c,100%,SSW,214,Onshore,SSW,198
22/01,6pm,3-5ft,2ft,14s,2,3,mph,24°c,100%,SSW,213,Onshore,S,191
23/01,6am,3-5ft,2ft,14s,5,6,mph,22°c,100%,SSW,212,Offshore,NNE,15
23/01,12pm,3-5ft,1.9ft,13s,6,7,mph,32°c,100%,SSW,212,Onshore,SW,224
23/01,6pm,3-5ft,2ft,14s,3,4,mph,25°c,100%,SSW,211,Onshore,SW,224
24/01,6am,3-5ft,2ft,13s,5,5,mph,21°c,100%,SSW,211,Offshore,N,7
24/01,12pm,3-5ft,2ft,13s,6,5,mph,30°c,100%,SSW,210,Onshore,SSW,207
24/01,6pm,3-5ft,2ft,13s,3,4,mph,24°c,100%,SSW,210,Onshore,SW,232
25/01,6am,3-5ft,1.9ft,13s,4,5,mph,21°c,100%,SSW,210,Offshore,NNE,14
25/01,12pm,3-4ft,1.8ft,12s,6,4,mph,30°c,100%,SSW,211,Onshore,SSW,196
25/01,6pm,3-5ft,1.8ft,12s,3,5,mph,24°c,100%,SSW,210,Onshore,SW,228
26/01,6am,3-4ft,1.6ft,12s,4,4,mph,21°c,100%,SSW,210,Offshore,NNE,14
26/01,12pm,3-5ft,1.9ft,12s,7,5,mph,29°c,100%,SSW,210,Onshore,SSW,205
26/01,6pm,3-4ft,1.5ft,14s,3,5,mph,24°c,100%,SSW,209,Onshore,SW,230
27/01,6am,3-4ft,1.6ft,15s,5,5,mph,19°c,100%,SSW,203,Offshore,NNE,15
27/01,12pm,2-4ft,1.2ft,16s,6,5,mph,30°c,100%,S,186,Onshore,SSW,205
27/01,6pm,3-4ft,1.7ft,13s,4,6,mph,24°c,100%,SSW,210,Onshore,S,171
28/01,6am,4-6ft,2.5ft,14s,5,5,mph,19°c,100%,SSW,200,Offshore,N,8
28/01,12pm,4-6ft,2.5ft,13s,7,8,mph,29°c,100%,SSW,200,Onshore,SW,218
28/01,6pm,4-6ft,2.5ft,13s,4,6,mph,24°c,100%,SSW,199,Onshore,SSW,204
