date,time,range,height,period,wind_mph,wind_kmh,mph,temp,prob,swell_dir,swell_angle,wind,wind_dir,wind_angle
01/01,6am,Plano,4.5ft,12s,14,17,mph,28°c,100%,SSW,204,Cross/Onshore,WNW,291
01/01,12pm,Plano,4.5ft,12s,19,21,mph,29°c,100%,SSW,205,Onshore,W,268
01/01,6pm,Plano,7.5ft,8s,25,30,mph,28°c,100%,W,259,Onshore,W,271
02/01,6am,Plano,6ft,8s,19,22,mph,28°c,100%,WSW,258,Onshore,W,281
02/01,12pm,Plano,6ft,7s,24,28,mph,28°c,100%,W,259,Onshore,W,268
02/01,6pm,Plano,6ft,7s,22,26,mph,28°c,100%,W,262,Onshore,WNW,283
03/01,6am,Plano,3.5ft,13s,20,24,mph,28°c,100%,SSW,204,Cross/Onshore,WNW,293
03/01,12pm,Plano,3ft,17s,17,22,mph,28°c,100%,SSW,205,Cross/Onshore,WNW,287
03/01,6pm,Plano,4ft,16s,15,19,mph,29°c,100%,SSW,206,Cross/Onshore,WNW,295
04/01,6am,Plano,5.5ft,15s,8,12,mph,28°c,100%,SSW,205,Cross/Onshore,WNW,302
04/01,12pm,Plano,5.5ft,14s,7,8,mph,29°c,100%,SSW,206,Onshore,WSW,255
04/01,6pm,Plano,5ft,14s,8,8,mph,28°c,100%,SSW,205,Onshore,SW,228
05/01,6am,Plano,4.5ft,13s,8,8,mph,28°c,100%,SSW,205,Cross/Onshore,WNW,300
05/01,12pm,Plano,4.5ft,13s,8,8,mph,28°c,100%,SSW,209,Onshore,SSE,168
05/01,6pm,Plano,5.5ft,15s,6,7,mph,29°c,100%,SSW,204,Cross/Onshore,SE,146
06/01,6am,Plano,6.5ft,13s,3,3,mph,28°c,100%,SSW,204,Cross/Offshore,NW,321
06/01,12pm,Plano,6.5ft,13s,5,5,mph,28°c,100%,SSW,204,Onshore,SSW,204
06/01,6pm,Plano,6.5ft,13s,8,9,mph,29°c,100%,SSW,203,Cross/Onshore,SSE,150
07/01,6am,Plano,5.5ft,12s,3,3,mph,28°c,100%,SSW,202,Cross/Offshore,NW,323
07/01,12pm,Plano,5ft,11s,6,6,mph,29°c,100%,SSW,201,Onshore,SSW,205
07/01,6pm,Plano,4.5ft,11s,6,7,mph,29°c,100%,SSW,201,Onshore,SSW,197
08/01,6am,Plano,4ft,10s,4,4,mph,28°c,100%,SSW,201,Cross-shore,NW,314
08/01,12pm,Plano,3.5ft,10s,8,9,mph,29°c,100%,SSW,201,Onshore,WSW,242
08/01,6pm,Plano,3.5ft,10s,6,7,mph,29°c,100%,SSW,202,Onshore,WSW,243
09/01,6am,Plano,5ft,16s,8,7,mph,28°c,100%,SSW,203,Cross/Onshore,WNW,304
09/01,12pm,Plano,5ft,15s,8,8,mph,28°c,100%,SSW,204,Onshore,WSW,251
09/01,6pm,Plano,5ft,14s,7,8,mph,29°c,100%,SSW,204,Onshore,S,187
10/01,6am,Plano,4.5ft,13s,5,5,mph,28°c,100%,SSW,205,Cross/Offshore,NNW,329
10/01,12pm,Plano,4.5ft,13s,7,7,mph,28°c,100%,SSW,206,Onshore,WSW,243
10/01,6pm,Plano,4.5ft,13s,8,8,mph,29°c,100%,SSW,206,Onshore,SSW,203
11/01,6am,Plano,4ft,13s,6,5,mph,28°c,100%,SSW,206,Cross/Offshore,NNW,330
11/01,12pm,Plano,4ft,12s,8,8,mph,28°c,100%,SSW,207,Onshore,WSW,244
11/01,6pm,Plano,4ft,12s,7,8,mph,29°c,100%,SSW,207,Onshore,SSW,194
12/01,6am,Plano,3ft,12s,4,4,mph,28°c,100%,SSW,206,Cross-shore,NW,307
12/01,12pm,Plano,3.5ft,11s,9,9,mph,29°c,100%,SSW,206,Onshore,SW,232
12/01,6pm,Plano,3.5ft,12s,8,9,mph,29°c,100%,SSW,207,Onshore,SW,220
13/01,6am,Plano,3ft,9s,0,2,mph,28°c,100%,SSW,200,Onshore,WSW,258
13/01,12pm,Plano,1.9ft,21s,4,4,mph,29°c,100%,SW,219,Onshore,SW,224
13/01,6pm,Plano,2.5ft,20s,6,6,mph,29°c,100%,SW,218,Onshore,S,173
14/01,6am,Plano,3ft,19s,10,10,mph,28°c,100%,SW,219,Cross/Onshore,WNW,285
14/01,12pm,Plano,3ft,18s,13,14,mph,28°c,100%,SW,219,Onshore,WSW,256
14/01,6pm,Plano,3.5ft,18s,13,15,mph,29°c,100%,SW,219,Onshore,WSW,245
15/01,6am,Plano,4.5ft,17s,14,16,mph,28°c,100%,SW,214,Onshore,W,275
15/01,12pm,Plano,5ft,16s,17,20,mph,29°c,100%,SSW,211,Onshore,W,266
15/01,6pm,Plano,5.5ft,16s,14,16,mph,29°c,100%,SSW,209,Onshore,WSW,256
16/01,6am,Plano,7.5ft,15s,13,14,mph,28°c,100%,SSW,209,Onshore,W,278
16/01,12pm,Plano,7.5ft,14s,17,20,mph,28°c,100%,SSW,210,Onshore,W,271
16/01,6pm,Plano,7.5ft,14s,15,18,mph,29°c,100%,SSW,212,Onshore,W,276
17/01,6am,Plano,7ft,14s,13,15,mph,28°c,100%,SSW,212,Cross/Onshore,WNW,287
17/01,12pm,Plano,6.5ft,14s,14,17,mph,28°c,100%,SSW,213,Onshore,W,265
17/01,6pm,Plano,6.5ft,13s,12,14,mph,29°c,100%,SSW,214,Cross/Onshore,WNW,290
18/01,6am,Plano,5.5ft,13s,8,9,mph,28°c,100%,SSW,210,Cross-shore,NW,313
18/01,12pm,Plano,5.5ft,13s,6,7,mph,29°c,100%,SSW,210,Onshore,W,265
18/01,6pm,Plano,5.5ft,13s,10,11,mph,29°c,100%,SSW,211,Onshore,WSW,253
19/01,6am,Plano,5ft,12s,5,5,mph,28°c,100%,SSW,211,Cross/Offshore,NW,325
19/01,12pm,Plano,4.5ft,12s,8,8,mph,28°c,100%,SSW,205,Cross/Onshore,SE,135
19/01,6pm,Plano,4.5ft,12s,3,4,mph,29°c,100%,SSW,207,Onshore,S,185
20/01,6am,Plano,4ft,11s,8,7,mph,28°c,100%,SSW,206,Cross-shore,NW,312
20/01,12pm,Plano,4ft,11s,9,10,mph,29°c,100%,SSW,206,Onshore,WSW,258
20/01,6pm,Plano,4ft,11s,8,9,mph,29°c,100%,SSW,206,Onshore,WSW,244
21/01,6am,Plano,3ft,16s,13,15,mph,29°c,100%,SW,225,Onshore,W,281
