date,time,range,height,period,wind_mph,wind_kmh,mph,temp,prob,swell_dir,swell_angle,wind,wind_dir,wind_angle
01/01,6am,2-3ft,2.5ft,14s,10,12,mph,14°c,100%,WNW,286,Cross-shore,SE,135
01/01,12pm,2-3ft,2ft,13s,12,14,mph,20°c,100%,WNW,286,Cross-shore,SE,137
01/01,6pm,1-2ft,2ft,13s,8,10,mph,17°c,100%,WNW,286,Offshore,E,100
02/01,6am,1-2ft,1.5ft,12s,8,10,mph,14°c,100%,WNW,286,Offshore,ESE,102
02/01,12pm,1-2ft,1.3ft,11s,10,11,mph,19°c,100%,WNW,287,Offshore,ESE,104
02/01,6pm,1ft,1.2ft,11s,6,8,mph,17°c,100%,WNW,288,Offshore,ENE,78
03/01,6am,1ft,0.8ft,10s,7,8,mph,13°c,100%,WNW,282,Offshore,ENE,63
03/01,12pm,1ft,0.7ft,9s,8,8,mph,18°c,100%,WNW,282,Offshore,ENE,76
03/01,6pm,1ft,0.7ft,13s,8,8,mph,16°c,100%,WNW,297,Offshore,ENE,58
04/01,6am,1ft,0.8ft,12s,5,7,mph,13°c,100%,WNW,294,Offshore,ENE,70
04/01,12pm,1ft,0.8ft,12s,7,8,mph,17°c,100%,WNW,291,Offshore,ESE,107
04/01,6pm,1ft,0.8ft,12s,6,6,mph,16°c,100%,WNW,290,Offshore,E,100
05/01,6am,1ft,0.8ft,12s,6,8,mph,13°c,100%,WNW,292,Offshore,E,87
05/01,12pm,1ft,0.7ft,9s,10,14,mph,18°c,100%,W,276,Offshore,ESE,108
05/01,6pm,1ft,0.7ft,9s,7,9,mph,16°c,100%,W,276,Offshore,ESE,102
06/01,6am,1ft,0.6ft,8s,13,19,mph,14°c,100%,W,275,Cross/Offshore,ESE,113
06/01,12pm,Plano,0.6ft,12s,15,17,mph,18°c,100%,NW,313,Cross/Offshore,ESE,120
06/01,6pm,0-1ft,0.8ft,14s,9,11,mph,16°c,100%,NW,309,Offshore,E,90
07/01,6am,1ft,1ft,13s,16,23,mph,15°c,100%,NW,304,Offshore,E,101
07/01,12pm,1ft,0.4ft,11s,13,16,mph,18°c,100%,SSW,199,Offshore,ESE,101
07/01,6pm,1ft,0.8ft,13s,9,12,mph,16°c,100%,WNW,302,Offshore,E,88
08/01,6am,1ft,0.9ft,12s,7,8,mph,13°c,100%,WNW,294,Offshore,E,85
08/01,12pm,1ft,1ft,12s,9,11,mph,18°c,100%,WNW,292,Offshore,E,94
08/01,6pm,1-2ft,1.3ft,13s,8,9,mph,16°c,100%,WNW,292,Offshore,ENE,77
09/01,6am,1ft,1.1ft,12s,6,7,mph,12°c,100%,WNW,292,Offshore,ENE,77
09/01,12pm,1ft,1ft,12s,7,7,mph,18°c,100%,WNW,290,Offshore,ENE,78
09/01,6pm,1ft,0.9ft,11s,6,7,mph,16°c,100%,WNW,289,Offshore,NE,50
10/01,6am,0-1ft,0.6ft,11s,7,9,mph,12°c,100%,WNW,290,Offshore,NNE,21
10/01,12pm,0-1ft,0.6ft,10s,9,9,mph,16°c,100%,WNW,289,Offshore,NNE,25
10/01,6pm,0-1ft,0.6ft,10s,8,9,mph,15°c,100%,WNW,285,Offshore,NNE,26
11/01,6am,Plano,0.8ft,8s,3,4,mph,10°c,100%,N,11,Offshore,ENE,61
11/01,12pm,1-2ft,1.2ft,16s,6,5,mph,16°c,100%,WNW,289,Offshore,ENE,76
11/01,6pm,1-2ft,1.5ft,14s,6,6,mph,15°c,100%,WNW,288,Offshore,E,89
12/01,6am,1-2ft,1.8ft,13s,6,8,mph,12°c,100%,WNW,288,Offshore,E,93
12/01,12pm,1-2ft,1.7ft,13s,10,11,mph,17°c,100%,WNW,290,Offshore,ESE,107
12/01,6pm,1-2ft,1.6ft,13s,8,9,mph,16°c,100%,WNW,291,Offshore,ESE,101
13/01,6am,1ft,1.5ft,12s,6,8,mph,13°c,100%,WNW,293,Offshore,ESE,104
13/01,12pm,1ft,1.4ft,12s,13,17,mph,20°c,100%,WNW,293,Cross/Onshore,SE,141
13/01,6pm,1ft,1.7ft,5s,8,11,mph,17°c,100%,SSE,162,Cross/Offshore,ESE,113
14/01,6am,1ft,0.6ft,12s,10,13,mph,14°c,100%,SSW,200,Cross/Offshore,SE,127
14/01,12pm,1ft,0.6ft,12s,12,14,mph,18°c,100%,SSW,200,Cross/Offshore,SE,126
14/01,6pm,1ft,1.9ft,5s,7,8,mph,16°c,100%,SSE,164,Offshore,E,95
15/01,6am,Plano,3ft,5s,7,8,mph,12°c,100%,ENE,78,Offshore,ENE,76
15/01,12pm,Plano,3ft,5s,13,13,mph,18°c,100%,ENE,78,Offshore,ENE,70
15/01,6pm,Plano,3ft,5s,12,13,mph,16°c,100%,ENE,74,Offshore,NE,51
16/01,6am,0-1ft,0.6ft,11s,14,19,mph,12°c,100%,WNW,290,Offshore,NNE,25
16/01,12pm,0-1ft,0.6ft,11s,15,16,mph,16°c,100%,WNW,289,Offshore,NNE,21
16/01,6pm,1ft,0.7ft,11s,15,17,mph,15°c,100%,WNW,289,Offshore,N,8
17/01,6am,1ft,0.7ft,11s,13,18,mph,13°c,100%,WNW,290,Offshore,NNE,16
17/01,12pm,1ft,0.7ft,11s,17,19,mph,16°c,100%,WNW,290,Offshore,N,356
17/01,6pm,0-1ft,0.6ft,11s,21,25,mph,14°c,100%,WNW,290,Offshore,N,355
18/01,6am,0-1ft,0.5ft,10s,19,26,mph,13°c,100%,WNW,291,Offshore,NNE,22
18/01,12pm,Plano,4.5ft,6s,21,23,mph,16°c,100%,NNE,16,Offshore,NNE,24
18/01,6pm,Plano,0.4ft,10s,21,24,mph,15°c,100%,WNW,293,Offshore,NNE,18
19/01,6am,Plano,5ft,6s,16,23,mph,14°c,100%,NNE,29,Offshore,NNE,27
19/01,12pm,Plano,4.5ft,6s,19,21,mph,17°c,100%,NNE,32,Offshore,NNE,28
19/01,6pm,0-1ft,0.6ft,14s,17,19,mph,15°c,100%,WNW,300,Offshore,NNE,24
20/01,6am,0-1ft,0.7ft,13s,13,18,mph,14°c,100%,WNW,300,Offshore,N,10
20/01,12pm,0-1ft,0.7ft,12s,15,17,mph,17°c,100%,WNW,298,Offshore,N,358
20/01,6pm,0-1ft,0.7ft,12s,14,18,mph,16°c,100%,WNW,298,Offshore,NNW,343
21/01,6am,Plano,3ft,5s,17,24,mph,14°c,100%,NNE,14,Offshore,NNE,17
21/01,12pm,0-1ft,0.6ft,11s,21,23,mph,16°c,100%,WNW,297,Offshore,NNE,25
21/01,6pm,Plano,4.5ft,6s,20,23,mph,15°c,100%,NNE,24,Offshore,NNE,19
22/01,6am,Plano,5ft,6s,17,25,mph,13°c,100%,NNE,33,Offshore,NNE,33
22/01,12pm,Plano,4.5ft,6s,19,20,mph,16°c,100%,NE,42,Offshore,NE,41
22/01,6pm,Plano,4.5ft,6s,18,20,mph,14°c,100%,NE,47,Offshore,NE,41
23/01,6am,Plano,5ft,6s,16,22,mph,12°c,100%,NE,49,Offshore,NE,40
23/01,12pm,Plano,4.5ft,6s,18,19,mph,16°c,100%,NE,48,Offshore,NNE,32
23/01,6pm,Plano,0.7ft,13s,16,18,mph,15°c,100%,NNW,332,Offshore,NNE,30
24/01,6am,Plano,3.5ft,5s,15,20,mph,13°c,100%,NE,34,Offshore,NNE,24
24/01,12pm,Plano,3ft,6s,16,17,mph,17°c,100%,NE,34,Offshore,NNE,20
24/01,6pm,Plano,3ft,6s,17,19,mph,15°c,100%,NNE,29,Offshore,NNE,15
25/01,6am,Plano,1.2ft,12s,8,10,mph,14°c,100%,N,2,Offshore,NNE,22
25/01,12pm,Plano,0.7ft,7s,7,7,mph,17°c,100%,NE,54,Offshore,N,9
25/01,6pm,Plano,0.5ft,7s,7,8,mph,16°c,100%,NE,56,Offshore,NNE,12
26/01,6am,0-1ft,0.6ft,15s,2,3,mph,12°c,100%,WNW,296,Cross/Offshore,NNW,331
26/01,12pm,1ft,0.6ft,16s,4,4,mph,17°c,100%,WNW,291,Offshore,NNE,22
26/01,6pm,1ft,1.1ft,15s,4,4,mph,16°c,100%,WNW,291,Offshore,NNE,20
27/01,6am,1-2ft,1.5ft,14s,7,9,mph,13°c,100%,WNW,290,Offshore,N,358
27/01,12pm,1-2ft,1.5ft,14s,12,13,mph,17°c,100%,WNW,290,Offshore,NNE,22
27/01,6pm,1-2ft,1.5ft,13s,14,16,mph,16°c,100%,WNW,290,Offshore,NNE,13
28/01,6am,1ft,1.2ft,12s,16,22,mph,14°c,100%,WNW,289,Offshore,NNE,31
28/01,12pm,1ft,0.7ft,9s,17,20,mph,16°c,100%,W,260,Offshore,NNE,31
28/01,6pm,1ft,0.8ft,9s,18,22,mph,15°c,100%,WSW,257,Offshore,NNE,28
29/01,6am,1ft,0.7ft,12s,15,22,mph,13°c,100%,SSW,199,Offshore,NNE,21
29/01,12pm,1ft,0.7ft,12s,17,19,mph,16°c,100%,SSW,199,Offshore,NNE,29
29/01,6pm,1ft,0.6ft,12s,17,21,mph,15°c,100%,SSW,199,Offshore,NNE,22
30/01,6am,1ft,0.5ft,12s,18,23,mph,13°c,100%,SSW,199,Offshore,NNE,20
30/01,12pm,0-1ft,0.5ft,14s,17,18,mph,17°c,100%,WNW,298,Offshore,NNE,20
30/01,6pm,1ft,0.5ft,11s,17,19,mph,15°c,100%,SSW,199,Offshore,NNE,15
31/01,6am,Plano,3ft,5s,13,19,mph,12°c,100%,NNE,31,Offshore,N,6
31/01,12pm,0-1ft,0.5ft,12s,15,15,mph,17°c,100%,WNW,294,Offshore,NNE,12
31/01,6pm,Plano,1.3ft,17s,13,15,mph,15°c,100%,NNW,343,Offshore,N,359
01/02,6am,Plano,1.8ft,15s,12,17,mph,13°c,100%,NNW,348,Cross/Offshore,NNW,340
01/02,12pm,0-1ft,0.4ft,11s,14,17,mph,18°c,100%,WNW,290,Offshore,NNW,341
01/02,6pm,0-1ft,0.4ft,10s,14,19,mph,17°c,100%,WNW,290,Cross/Offshore,NNW,338
02/02,6am,Plano,3.5ft,4s,19,23,mph,14°c,100%,NNE,20,Offshore,NNE,26
02/02,12pm,Plano,4.5ft,5s,20,22,mph,16°c,100%,NNE,28,Offshore,NNE,33
02/02,6pm,1ft,0.5ft,15s,23,27,mph,15°c,100%,W,259,Offshore,NNE,26
03/02,6am,0-1ft,0.6ft,13s,21,28,mph,13°c,100%,WNW,296,Offshore,NE,35
03/02,12pm,0-1ft,0.5ft,13s,23,26,mph,16°c,100%,WNW,295,Offshore,NNE,32
03/02,6pm,0-1ft,0.6ft,13s,22,27,mph,14°c,100%,WNW,296,Offshore,NNE,33
04/02,6am,0-1ft,0.3ft,12s,10,12,mph,13°c,100%,SSW,200,Offshore,NE,41
04/02,12pm,0-1ft,0.3ft,12s,10,12,mph,18°c,100%,SSW,200,Offshore,ENE,74
04/02,6pm,0-1ft,0.3ft,12s,7,8,mph,18°c,100%,SSW,200,Offshore,ENE,79
05/02,6am,0-1ft,0.4ft,10s,7,9,mph,13°c,100%,WNW,292,Offshore,ESE,110
05/02,12pm,Plano,0.4ft,10s,15,18,mph,20°c,100%,WNW,293,Cross/Offshore,SE,130
05/02,6pm,1ft,2ft,5s,8,10,mph,17°c,100%,SSE,155,Offshore,E,99
06/02,6am,0-1ft,0.8ft,5s,7,9,mph,13°c,100%,SSE,166,Offshore,E,87
06/02,12pm,Plano,3ft,5s,10,13,mph,19°c,100%,E,80,Offshore,E,96
06/02,6pm,Plano,0.8ft,18s,8,11,mph,18°c,100%,NNW,330,Offshore,ENE,67
07/02,6am,Plano,1.3ft,15s,9,10,mph,13°c,100%,NW,325,Offshore,NE,49
07/02,12pm,0-1ft,1.3ft,14s,10,11,mph,18°c,100%,NW,319,Offshore,ENE,66
07/02,6pm,Plano,2ft,17s,10,11,mph,16°c,100%,NNW,329,Offshore,NE,50
08/02,6am,1ft,0.4ft,15s,7,8,mph,12°c,100%,SSW,201,Offshore,NE,49
08/02,12pm,1ft,0.3ft,15s,9,9,mph,17°c,100%,SSW,201,Offshore,ENE,58
08/02,6pm,Plano,0.3ft,10s,8,8,mph,16°c,100%,WNW,295,Offshore,NE,46
09/02,6am,1ft,0.3ft,14s,7,8,mph,12°c,100%,SSW,201,Offshore,NE,50
09/02,12pm,1ft,0.3ft,14s,6,6,mph,17°c,100%,SSW,201,Offshore,E,83
09/02,6pm,1ft,0.3ft,14s,7,7,mph,17°c,100%,SSW,201,Offshore,E,89
10/02,6am,1ft,0.4ft,13s,7,8,mph,13°c,100%,SSW,201,Offshore,ENE,62
10/02,12pm,1ft,0.4ft,13s,10,13,mph,20°c,100%,SSW,200,Offshore,E,80
10/02,6pm,Plano,3ft,5s,8,11,mph,19°c,100%,ENE,70,Offshore,ENE,77
11/02,6am,1ft,0.5ft,13s,7,9,mph,14°c,100%,SSW,200,Offshore,E,100
11/02,12pm,Plano,3ft,5s,10,13,mph,21°c,100%,ENE,66,Cross/Offshore,ESE,118
11/02,6pm,Plano,2.5ft,5s,6,7,mph,21°c,100%,ENE,71,Offshore,E,96
12/02,6am,Plano,2.5ft,4s,5,7,mph,14°c,100%,ENE,63,Offshore,E,86
12/02,12pm,1ft,0.6ft,12s,8,10,mph,21°c,100%,SSW,201,Offshore,ESE,108
