ds,y
2018-01-01,19.666666666666668
2018-01-02,31.0
2018-01-03,30.333333333333332
2018-01-04,4.0
2018-01-05,18.333333333333332
2018-01-06,17.333333333333332
2018-01-07,12.0
2018-01-08,24.0
2018-01-09,12.333333333333334
2018-01-10,8.666666666666666
2018-01-11,17.0
2018-01-12,11.333333333333334
2018-01-13,12.333333333333334
2018-01-14,22.666666666666668
2018-01-15,28.333333333333332
2018-01-16,35.333333333333336
2018-01-17,26.0
2018-01-18,25.666666666666668
2018-01-19,25.666666666666668
2018-01-20,19.0
2018-01-21,10.666666666666666
2018-01-22,9.0
2018-01-23,10.666666666666666
2018-01-24,12.0
2018-01-25,15.666666666666666
2018-01-26,29.0
2018-01-27,33.0
2018-01-28,29.333333333333332
2018-01-29,24.0
2018-01-30,15.0
2018-01-31,23.666666666666668
2018-02-01,18.666666666666668
2018-02-02,29.666666666666668
2018-02-03,33.666666666666664
2018-02-04,10.666666666666666
2018-02-05,12.0
2018-02-06,21.333333333333332
2018-02-07,13.0
2018-02-08,15.0
2018-02-09,13.333333333333334
2018-02-10,8.666666666666666
2018-02-11,23.0
2018-02-12,7.666666666666667
2018-02-13,4.333333333333333
2018-02-14,8.0
2018-02-15,8.666666666666666
2018-02-16,9.333333333333334
2018-02-17,13.333333333333334
2018-02-18,10.666666666666666
2018-02-19,14.0
2018-02-20,18.0
2018-02-21,15.0
2018-02-22,4.0
2018-02-23,16.333333333333332
2018-02-24,10.0
2018-02-25,31.666666666666668
2018-02-26,17.0
2018-02-27,32.0
2018-02-28,49.333333333333336
2018-03-01,10.333333333333334
2018-03-02,32.333333333333336
2018-03-03,35.333333333333336
2018-03-04,12.666666666666666
2018-03-05,15.0
2018-03-06,18.333333333333332
2018-03-07,17.666666666666668
2018-03-08,10.0
2018-03-09,14.0
2018-03-10,7.333333333333333
2018-03-11,22.333333333333332
2018-03-12,7.666666666666667
2018-03-13,8.0
2018-03-14,3.3333333333333335
2018-03-15,12.0
2018-03-16,21.333333333333332
2018-03-17,13.333333333333334
2018-03-18,19.0
2018-03-19,20.666666666666668
2018-03-20,29.0
2018-03-21,30.333333333333332
2018-03-22,24.333333333333332
2018-03-23,17.333333333333332
2018-03-24,21.0
2018-03-25,25.333333333333332
2018-03-26,27.666666666666668
2018-03-27,17.0
2018-03-28,9.0
2018-03-29,12.333333333333334
2018-03-30,20.666666666666668
2018-03-31,12.0
2018-04-01,9.333333333333334
2018-04-02,23.0
2018-04-03,10.666666666666666
2018-04-04,17.0
2018-04-05,15.333333333333334
2018-04-06,17.0
2018-04-07,19.666666666666668
2018-04-08,13.0
2018-04-09,14.0
2018-04-10,8.666666666666666
2018-04-11,18.333333333333332
2018-04-12,10.0
2018-04-13,22.0
2018-04-14,19.0
2018-04-15,15.0
2018-04-16,11.0
2018-04-17,10.666666666666666
2018-04-18,17.0
2018-04-19,22.0
2018-04-20,26.666666666666668
2018-04-21,13.333333333333334
2018-04-22,20.0
2018-04-23,23.333333333333332
2018-04-24,25.333333333333332
2018-04-25,23.0
2018-04-26,21.0
2018-04-27,18.0
2018-04-28,21.0
2018-04-29,19.0
2018-04-30,17.333333333333332
2018-05-01,9.0
2018-05-02,26.666666666666668
2018-05-03,2.6666666666666665
2018-05-04,13.666666666666666
2018-05-05,9.666666666666666
2018-05-06,15.666666666666666
2018-05-07,19.333333333333332
2018-05-08,18.333333333333332
2018-05-09,14.666666666666666
2018-05-10,5.666666666666667
2018-05-11,15.333333333333334
2018-05-12,12.666666666666666
2018-05-13,23.666666666666668
2018-05-14,18.666666666666668
2018-05-15,18.0
2018-05-16,22.333333333333332
2018-05-17,17.666666666666668
2018-05-18,16.0
2018-05-19,16.666666666666668
2018-05-20,16.0
