date,time,range,height,period,wind_mph,wind_kmh,mph,temp,prob,swell_dir,swell_angle,wind,wind_dir,wind_angle
01/01,6am,1ft,3ft,8s,7,9,mph,24°c,100%,E,99,Offshore,NNE,20
01/01,12pm,1ft,3ft,7s,10,11,mph,28°c,100%,E,98,Cross-shore,E,98
01/01,6pm,1ft,3ft,7s,13,16,mph,28°c,100%,E,97,Cross/Offshore,E,84
02/01,6am,1ft,3ft,7s,6,7,mph,25°c,100%,E,97,Cross/Onshore,WSW,254
02/01,12pm,1ft,2.5ft,7s,11,12,mph,25°c,100%,E,99,Onshore,S,187
02/01,6pm,0-1ft,2ft,7s,1,2,mph,25°c,100%,E,96,Offshore,NE,34
03/01,6am,0-1ft,0.4ft,9s,5,6,mph,24°c,100%,SSW,193,Cross/Onshore,W,261
03/01,12pm,1ft,0.5ft,13s,15,21,mph,25°c,100%,S,186,Onshore,WSW,237
03/01,6pm,2ft,1.6ft,10s,16,24,mph,25°c,100%,SSW,207,Cross/Onshore,WSW,253
04/01,6am,3-5ft,4.5ft,10s,6,7,mph,24°c,100%,S,189,Offshore,NNW,342
04/01,12pm,4-6ft,5ft,10s,11,16,mph,24°c,100%,S,178,Onshore,SSW,209
04/01,6pm,4-6ft,5.5ft,10s,5,7,mph,24°c,100%,SSE,168,Onshore,WSW,248
05/01,6am,4-6ft,5ft,10s,2,3,mph,24°c,100%,SSE,158,Offshore,NNW,337
05/01,12pm,3-5ft,5ft,10s,12,14,mph,25°c,100%,SSE,156,Onshore,SSW,197
05/01,6pm,3-5ft,4.5ft,10s,1,2,mph,24°c,100%,SSE,154,Cross/Onshore,WSW,253
06/01,6am,3-4ft,3.5ft,9s,4,5,mph,24°c,100%,SSE,153,Offshore,ENE,58
06/01,12pm,2-4ft,3.5ft,9s,10,11,mph,27°c,100%,SSE,152,Onshore,SE,134
06/01,6pm,2-3ft,3ft,9s,7,9,mph,26°c,100%,SSE,152,Cross/Onshore,ESE,109
07/01,6am,2-3ft,2ft,8s,6,7,mph,25°c,100%,SSE,155,Offshore,N,356
07/01,12pm,1-2ft,1.8ft,8s,9,11,mph,30°c,100%,SSE,156,Onshore,SE,143
07/01,6pm,1ft,1.1ft,8s,10,12,mph,27°c,100%,SE,142,Cross/Onshore,ESE,105
08/01,6am,1ft,1ft,8s,7,8,mph,25°c,100%,SSE,157,Onshore,WSW,243
08/01,12pm,1ft,0.7ft,7s,8,9,mph,27°c,100%,SSE,166,Onshore,SSW,213
08/01,6pm,1ft,0.6ft,6s,9,13,mph,25°c,100%,SSE,166,Cross/Offshore,WNW,289
09/01,6am,1ft,0.7ft,15s,3,3,mph,25°c,100%,S,187,Offshore,ENE,63
09/01,12pm,2ft,1.3ft,14s,10,10,mph,27°c,100%,S,189,Onshore,S,174
09/01,6pm,2-3ft,1.9ft,13s,4,6,mph,27°c,100%,S,191,Onshore,ESE,122
10/01,6am,2-4ft,2.5ft,11s,5,5,mph,26°c,100%,SSW,195,Offshore,N,3
10/01,12pm,2-3ft,2.5ft,11s,11,12,mph,28°c,100%,SSW,196,Onshore,SE,130
10/01,6pm,2-3ft,2ft,10s,8,12,mph,26°c,100%,SSW,196,Cross/Offshore,ENE,78
11/01,6am,2-3ft,1.7ft,10s,8,9,mph,26°c,100%,SSW,195,Offshore,N,359
11/01,12pm,1-2ft,1.5ft,9s,8,10,mph,31°c,100%,SSW,194,Onshore,S,189
11/01,6pm,1-2ft,1.3ft,9s,5,6,mph,27°c,100%,SSW,193,Cross/Onshore,ESE,111
12/01,6am,1-2ft,1ft,8s,7,8,mph,26°c,100%,S,191,Offshore,NNW,339
12/01,12pm,1-2ft,1ft,15s,14,18,mph,27°c,100%,S,185,Onshore,SW,231
12/01,6pm,2-3ft,1.7ft,13s,7,9,mph,27°c,100%,S,187,Offshore,WNW,300
13/01,6am,2-3ft,2ft,11s,9,13,mph,25°c,100%,SSW,193,Onshore,SW,226
13/01,12pm,2-3ft,1.9ft,11s,1,2,mph,25°c,100%,SSW,195,Onshore,SSE,153
13/01,6pm,2-3ft,2ft,13s,9,13,mph,25°c,100%,S,183,Onshore,SE,140
14/01,6am,3-4ft,2.5ft,12s,3,3,mph,23°c,100%,S,190,Offshore,NE,34
14/01,12pm,3-4ft,3ft,11s,11,12,mph,25°c,100%,S,187,Onshore,ESE,121
14/01,6pm,3-5ft,4ft,11s,11,14,mph,25°c,100%,S,177,Cross/Onshore,E,101
15/01,6am,3-5ft,4ft,10s,9,12,mph,23°c,100%,S,178,Offshore,ENE,60
15/01,12pm,3-5ft,3.5ft,10s,16,16,mph,26°c,100%,S,170,Cross/Onshore,ESE,111
15/01,6pm,2-4ft,2.5ft,10s,16,20,mph,26°c,100%,S,186,Cross-shore,E,90
16/01,6am,3-4ft,3ft,11s,6,7,mph,25°c,100%,S,175,Offshore,NNE,16
16/01,12pm,2-3ft,2.5ft,11s,9,11,mph,30°c,100%,S,172,Cross/Onshore,ESE,117
16/01,6pm,2-3ft,2ft,10s,5,6,mph,28°c,100%,S,170,Onshore,SE,132
17/01,6am,2-4ft,3ft,10s,19,27,mph,26°c,100%,S,175,Onshore,S,169
17/01,12pm,3-5ft,5ft,7s,17,21,mph,24°c,100%,S,179,Onshore,S,188
17/01,6pm,3-5ft,5ft,7s,16,20,mph,24°c,100%,S,169,Onshore,S,176
18/01,6am,4-6ft,5.5ft,8s,7,8,mph,23°c,100%,S,172,Onshore,SE,130
18/01,12pm,5-8ft,6ft,14s,9,10,mph,24°c,100%,S,189,Cross/Onshore,ESE,113
18/01,6pm,5-7ft,5.5ft,13s,13,15,mph,24°c,100%,S,191,Cross/Onshore,ESE,113
19/01,6am,6-9ft,6.5ft,15s,5,6,mph,22°c,100%,S,185,Offshore,NE,39
19/01,12pm,6-9ft,6.5ft,15s,7,8,mph,25°c,100%,S,184,Onshore,SE,136
19/01,6pm,5-8ft,6ft,14s,12,14,mph,24°c,100%,S,184,Onshore,SE,125
20/01,6am,4-7ft,5ft,14s,3,4,mph,23°c,100%,S,184,Cross/Offshore,ENE,75
20/01,12pm,4-6ft,4.5ft,13s,6,5,mph,24°c,100%,S,184,Onshore,SSW,197
20/01,6pm,4-6ft,4ft,13s,12,15,mph,24°c,100%,S,184,Onshore,SSE,151
21/01,6am,3-5ft,3ft,12s,7,7,mph,22°c,100%,S,184,Offshore,N,356
21/01,12pm,3-4ft,3ft,12s,8,8,mph,24°c,100%,S,183,Onshore,S,171
21/01,6pm,3-4ft,2.5ft,12s,8,11,mph,25°c,100%,S,182,Onshore,SE,135
22/01,6am,2-3ft,2.5ft,11s,5,5,mph,22°c,100%,S,183,Offshore,N,353
22/01,12pm,2-3ft,2ft,11s,12,11,mph,24°c,100%,S,183,Onshore,SSE,161
22/01,6pm,2-3ft,2ft,11s,10,16,mph,25°c,100%,S,184,Cross/Onshore,ESE,112
23/01,6am,2ft,1.6ft,10s,6,6,mph,23°c,100%,S,186,Offshore,NNE,15
23/01,12pm,1-2ft,2ft,7s,1,1,mph,25°c,100%,SSE,147,Onshore,SW,230
23/01,6pm,2ft,2ft,7s,7,8,mph,22°c,100%,SSE,152,Cross/Onshore,ESE,106
24/01,6am,2-3ft,2.5ft,8s,6,6,mph,22°c,100%,SSE,152,Offshore,NNE,34
24/01,12pm,3-5ft,4.5ft,11s,2,3,mph,23°c,100%,SSE,157,Onshore,SW,215
24/01,6pm,3-5ft,4.5ft,10s,11,14,mph,24°c,100%,SSE,162,Onshore,SW,223
25/01,6am,3-5ft,4ft,9s,13,17,mph,23°c,100%,S,170,Cross/Onshore,W,266
25/01,12pm,3-5ft,4ft,9s,17,20,mph,25°c,100%,S,172,Onshore,SW,235
25/01,6pm,3-5ft,4.5ft,9s,8,11,mph,25°c,100%,S,176,Onshore,SSW,210
26/01,6am,3-5ft,4ft,9s,5,5,mph,22°c,100%,S,175,Offshore,NNE,11
26/01,12pm,3-4ft,3.5ft,8s,10,9,mph,25°c,100%,S,173,Onshore,SE,135
26/01,6pm,3-4ft,3.5ft,8s,12,17,mph,25°c,100%,SSE,168,Cross/Onshore,E,100
27/01,6am,2-3ft,2.5ft,8s,4,4,mph,23°c,100%,S,171,Offshore,NNE,33
27/01,12pm,2-3ft,2ft,8s,12,12,mph,26°c,100%,S,172,Cross/Onshore,ESE,113
27/01,6pm,1-2ft,1.7ft,8s,14,19,mph,26°c,100%,S,173,Cross-shore,E,90
28/01,6am,1ft,1ft,7s,6,7,mph,24°c,100%,S,173,Offshore,NNE,18
28/01,12pm,1ft,0.8ft,7s,13,12,mph,27°c,100%,S,172,Onshore,SE,137
28/01,6pm,1ft,0.8ft,10s,7,10,mph,26°c,100%,ESE,120,Cross-shore,E,98
29/01,6am,1-2ft,1.2ft,10s,6,7,mph,24°c,100%,S,185,Offshore,NNE,11
29/01,12pm,1-2ft,1ft,10s,12,13,mph,27°c,100%,S,189,Cross/Onshore,ESE,118
