date,time,range,height,period,wind_mph,wind_kmh,mph,temp,prob,swell_dir,swell_angle,wind,wind_dir,wind_angle
01/01,6am,Plano,7ft,14s,6,6,mph,28°c,100%,SSW,207,Onshore,WNW,284
01/01,12pm,Plano,7ft,15s,14,14,mph,28°c,100%,SSW,206,Cross/Offshore,NW,323
01/01,6pm,Plano,7ft,14s,7,8,mph,27°c,100%,SSW,207,Cross/Offshore,NW,316
02/01,6am,Plano,6.5ft,14s,7,6,mph,27°c,100%,SSW,207,Offshore,NNE,19
02/01,12pm,Plano,6ft,13s,9,10,mph,29°c,100%,SSW,208,Onshore,WSW,252
02/01,6pm,Plano,5.5ft,13s,9,11,mph,29°c,100%,SSW,207,Onshore,W,265
03/01,6am,Plano,5ft,12s,13,16,mph,28°c,100%,SSW,209,Onshore,WNW,282
03/01,12pm,Plano,4.5ft,12s,16,18,mph,29°c,100%,SSW,209,Onshore,WSW,252
03/01,6pm,Plano,3.5ft,16s,14,13,mph,29°c,100%,SW,217,Onshore,W,274
04/01,6am,Plano,4.5ft,15s,17,22,mph,29°c,100%,SW,217,Cross/Onshore,WNW,296
04/01,12pm,Plano,4.5ft,14s,30,35,mph,28°c,100%,SW,217,Onshore,W,260
04/01,6pm,Plano,5.5ft,14s,17,21,mph,28°c,100%,SSW,213,Onshore,W,279
05/01,6am,Plano,8.5ft,13s,18,21,mph,29°c,100%,SW,223,Onshore,W,270
05/01,12pm,Plano,8ft,12s,15,17,mph,29°c,100%,SW,218,Onshore,WSW,255
05/01,6pm,Plano,7.5ft,12s,14,16,mph,29°c,100%,SSW,212,Onshore,WSW,253
06/01,6am,Plano,6.5ft,11s,14,16,mph,28°c,100%,SSW,209,Onshore,W,269
06/01,12pm,Plano,6ft,11s,14,16,mph,29°c,100%,SSW,209,Onshore,WSW,257
06/01,6pm,Plano,5.5ft,11s,11,12,mph,29°c,100%,SSW,209,Onshore,WSW,255
07/01,6am,Plano,5ft,10s,10,12,mph,28°c,100%,SSW,210,Onshore,W,275
07/01,12pm,Plano,4.5ft,10s,13,16,mph,28°c,100%,SSW,211,Onshore,W,265
07/01,6pm,Plano,4.5ft,10s,11,13,mph,28°c,100%,SSW,213,Onshore,W,266
08/01,6am,Plano,4.5ft,10s,13,14,mph,28°c,100%,SW,218,Cross/Onshore,WNW,288
