ds,y
2018-01-01,4.5
2018-01-02,6.833333333333333
2018-01-03,1.5
2018-01-04,5.0
2018-01-05,5.0
2018-01-06,1.8333333333333333
2018-01-07,1.3999999999999997
2018-01-08,1.3
2018-01-09,3.0
2018-01-10,3.1666666666666665
2018-01-11,4.0
2018-01-12,6.5
2018-01-13,15.5
2018-01-14,14.5
2018-01-15,10.0
2018-01-16,7.5
2018-01-17,8.833333333333334
2018-01-18,5.166666666666667
2018-01-19,2.5
2018-01-20,1.7333333333333334
2018-01-21,3.8333333333333335
2018-01-22,4.666666666666667
2018-01-23,4.833333333333333
2018-01-24,2.8333333333333335
2018-01-25,1.8333333333333333
2018-01-26,2.8333333333333335
2018-01-27,2.2666666666666666
2018-01-28,3.1666666666666665
2018-01-29,4.0
2018-01-30,4.5
2018-01-31,2.8333333333333335
2018-02-01,6.666666666666667
2018-02-02,6.666666666666667
2018-02-03,1.0
2018-02-04,3.5
2018-02-05,3.5
2018-02-06,2.033333333333333
2018-02-07,1.1666666666666667
2018-02-08,2.6333333333333333
2018-02-09,2.8333333333333335
2018-02-10,5.166666666666667
2018-02-11,2.3333333333333335
2018-02-12,5.0
2018-02-13,5.333333333333333
2018-02-14,5.833333333333333
2018-02-15,3.1666666666666665
2018-02-16,2.6666666666666665
2018-02-17,3.5
2018-02-18,4.333333333333333
2018-02-19,3.6666666666666665
2018-02-20,3.5
2018-02-21,4.166666666666667
2018-02-22,4.0
2018-02-23,3.8333333333333335
2018-02-24,2.1666666666666665
2018-02-25,1.2666666666666666
2018-02-26,2.1333333333333333
2018-02-27,1.0999999999999999
2018-02-28,1.9333333333333333
2018-03-01,6.0
2018-03-02,10.0
2018-03-03,1.5
2018-03-04,3.0
2018-03-05,2.5
2018-03-06,2.3333333333333335
2018-03-07,2.5
2018-03-08,3.3333333333333335
2018-03-09,2.1666666666666665
2018-03-10,4.333333333333333
2018-03-11,1.5
2018-03-12,4.0
2018-03-13,6.833333333333333
2018-03-14,4.5
2018-03-15,3.0
2018-03-16,1.8666666666666665
2018-03-17,2.6666666666666665
2018-03-18,4.333333333333333
2018-03-19,4.333333333333333
2018-03-20,3.8333333333333335
2018-03-21,6.666666666666667
2018-03-22,5.5
2018-03-23,3.8333333333333335
2018-03-24,3.1666666666666665
2018-03-25,2.3333333333333335
2018-03-26,2.3333333333333335
2018-03-27,2.3333333333333335
2018-03-28,1.8
2018-03-29,2.0
2018-03-30,1.7333333333333334
