Spot,date,time,range,height,swell_dir,swell_angle,period,wind_kmh,wind_dir,wind,wind_angle,temp,Conditions
Nazare,01/01,6am,7-11ft,5ft,NW,306,11s,4,ESE,Offshore,115,6°c,Good
Nazare,01/01,12pm,7-11ft,5ft,NW,310,10s,6,SE,Offshore,144,13°c,Good
Nazare,01/01,6pm,6-10ft,4.5ft,NW,309,10s,1,S,Offshore,171,8°c,Good
Nazare,02/01,6am,4-7ft,2.5ft,NW,322,10s,6,SE,Offshore,129,6°c,Good
Nazare,02/01,12pm,5-8ft,3ft,W,276,12s,9,SSE,Offshore,156,11°c,Good
Nazare,02/01,6pm,7-11ft,3.5ft,W,276,19s,5,SE,Offshore,128,11°c,Good
Nazare,03/01,6am,12-18ft,8ft,W,280,15s,8,SSE,Offshore,151,10°c,Good
Nazare,03/01,12pm,12-18ft,8.5ft,W,280,14s,6,SSE,Offshore,160,13°c,Good
Nazare,03/01,6pm,12-18ft,8ft,WNW,283,14s,2,W,Onshore,260,10°c,Good
Nazare,04/01,6am,10-16ft,7ft,WNW,292,13s,5,NE,Cross/Offshore,47,9°c,Good
Nazare,04/01,12pm,10-16ft,7ft,WNW,298,12s,2,SSW,Cross/Offshore,192,15°c,Good
Nazare,04/01,6pm,9-14ft,6ft,WNW,302,12s,3,N,Cross/Onshore,4,10°c,Good
Nazare,05/01,6am,9-14ft,6ft,NW,318,13s,4,SE,Offshore,126,6°c,Good
Nazare,05/01,12pm,8-13ft,5ft,NW,321,13s,11,E,Offshore,93,13°c,Good
Nazare,05/01,6pm,7-11ft,4.5ft,NW,324,13s,3,NNW,Onshore,327,8°c,Good
Nazare,06/01,6am,5-8ft,3ft,NNW,327,12s,1,ESE,Offshore,122,5°c,Good
Nazare,06/01,12pm,4-6ft,2.5ft,NNW,329,12s,2,W,Onshore,280,12°c,Good
Nazare,06/01,6pm,3-5ft,1.8ft,WNW,282,11s,4,NE,Cross/Offshore,37,7°c,Good
Nazare,07/01,6am,7-11ft,4ft,WNW,288,12s,2,E,Offshore,87,5°c,Good
Nazare,07/01,12pm,8-13ft,5.5ft,WNW,288,12s,4,N,Cross/Onshore,0,13°c,Good
Nazare,07/01,6pm,9-14ft,6ft,WNW,287,12s,5,N,Cross/Onshore,6,7°c,Good
Nazare,08/01,6am,8-13ft,5.5ft,WNW,287,12s,6,NNE,Cross/Onshore,16,4°c,Good
Nazare,08/01,12pm,8-12ft,5.5ft,WNW,286,11s,10,NNW,Onshore,345,13°c,Good
Nazare,08/01,6pm,16-26ft,10ft,WNW,284,19s,5,NNW,Onshore,329,10°c,Good
Nazare,09/01,6am,16-26ft,11.5ft,WNW,283,16s,2,ESE,Offshore,119,11°c,Good
Nazare,09/01,12pm,14-24ft,10.5ft,WNW,282,16s,7,W,Onshore,276,16°c,Good
Nazare,09/01,6pm,14-22ft,9.5ft,WNW,285,15s,23,NNW,Onshore,346,11°c,Good
Nazare,10/01,6am,18-30ft,15ft,NW,304,15s,19,N,Onshore,358,7°c,Good
Nazare,10/01,12pm,16-26ft,13ft,NW,306,14s,21,N,Onshore,360,12°c,Good
Nazare,10/01,6pm,12-18ft,9ft,NW,321,13s,11,N,Cross/Onshore,8,8°c,Good
Nazare,11/01,6am,9-14ft,6.5ft,NW,323,12s,3,ESE,Offshore,101,5°c,Good
Nazare,11/01,12pm,8-12ft,5.5ft,NW,325,12s,5,SSE,Offshore,158,13°c,Good
Nazare,11/01,6pm,8-13ft,5ft,WNW,289,12s,2,NE,Cross/Offshore,47,7°c,Good
Nazare,12/01,6am,12-18ft,7.5ft,WNW,292,14s,4,SE,Offshore,136,5°c,Good
Nazare,12/01,12pm,14-22ft,10ft,WNW,289,16s,2,S,Offshore,173,13°c,Good
Nazare,12/01,6pm,14-22ft,10ft,WNW,287,15s,2,N,Onshore,351,6°c,Good
Nazare,13/01,6am,14-22ft,10ft,WNW,285,15s,11,SE,Offshore,133,5°c,Good
Nazare,13/01,12pm,14-22ft,10.5ft,WNW,286,15s,12,SSE,Offshore,149,10°c,Good
Nazare,13/01,6pm,14-22ft,9.5ft,WNW,287,14s,13,SE,Offshore,143,10°c,Good
Nazare,14/01,6am,16-26ft,12.5ft,WNW,293,15s,17,SE,Offshore,129,9°c,Good
Nazare,14/01,12pm,20-30ft,15ft,WNW,293,16s,24,SE,Offshore,140,11°c,Good
Nazare,14/01,6pm,18-28ft,13.5ft,WNW,289,16s,28,S,Offshore,170,12°c,Good
Nazare,15/01,6am,16-26ft,13ft,WNW,284,15s,26,SE,Offshore,145,12°c,Good
Nazare,15/01,12pm,16-26ft,13ft,WNW,286,14s,19,SSW,Cross-shore,203,16°c,Good
Nazare,15/01,6pm,14-20ft,10ft,W,279,13s,26,S,Offshore,170,13°c,Good
Nazare,16/01,6am,12-18ft,8ft,W,270,14s,30,SSE,Offshore,151,12°c,Good
Nazare,16/01,12pm,10-16ft,8.5ft,W,261,13s,31,S,Cross/Offshore,187,16°c,Good
Nazare,16/01,6pm,12-18ft,10.5ft,W,261,11s,21,WSW,Onshore,239,13°c,Good
Nazare,17/01,6am,12-18ft,8.5ft,W,279,12s,5,NNW,Onshore,330,10°c,Good
Nazare,17/01,12pm,10-16ft,8ft,WNW,281,12s,2,N,Cross/Onshore,5,15°c,Good
Nazare,17/01,6pm,10-16ft,7.5ft,WNW,285,11s,5,SE,Offshore,126,11°c,Good
Nazare,18/01,6am,12-18ft,9.5ft,W,269,11s,32,WSW,Onshore,245,15°c,Good
Nazare,18/01,12pm,10-16ft,8ft,W,277,11s,16,WNW,Onshore,288,15°c,Good
Nazare,18/01,6pm,8-12ft,6.5ft,W,272,9s,24,WNW,Onshore,291,12°c,Good
Nazare,19/01,6am,10-18ft,10ft,NW,316,9s,25,NNW,Onshore,340,10°c,Good
Nazare,19/01,12pm,14-20ft,10.5ft,NW,313,13s,23,NNE,Cross/Onshore,19,13°c,Good
Nazare,19/01,6pm,10-16ft,9ft,NW,315,11s,33,NNE,Cross/Onshore,18,10°c,Good
Nazare,20/01,6am,8-13ft,8.5ft,NNW,340,10s,32,NNE,Cross/Offshore,32,4°c,Good
Nazare,20/01,12pm,7-11ft,7ft,NNW,340,10s,18,NE,Offshore,54,10°c,Good
Nazare,20/01,6pm,7-12ft,3.5ft,W,277,18s,26,NE,Offshore,53,7°c,Good
Nazare,21/01,6am,10-16ft,5.5ft,W,278,16s,3,ENE,Offshore,58,3°c,Good
Nazare,21/01,12pm,10-14ft,5.5ft,W,280,16s,9,NE,Offshore,51,10°c,Good
Nazare,21/01,6pm,9-13ft,5ft,WNW,282,15s,6,NNE,Cross/Offshore,32,8°c,Good
Nazare,22/01,6am,7-11ft,4ft,WNW,290,14s,6,NE,Offshore,50,6°c,Good
Nazare,22/01,12pm,7-10ft,3.5ft,WNW,294,13s,21,E,Offshore,101,13°c,Good
Nazare,22/01,6pm,6-9ft,3.5ft,WNW,297,13s,17,ENE,Offshore,60,8°c,Good
Nazare,23/01,6am,5-8ft,3ft,NW,304,12s,18,ESE,Offshore,122,7°c,Good
Nazare,23/01,12pm,5-8ft,2.5ft,NW,307,12s,18,SE,Offshore,131,11°c,Good
Nazare,23/01,6pm,4-7ft,2.5ft,NW,309,11s,13,ESE,Offshore,105,8°c,Good
Nazare,24/01,6am,3-5ft,2ft,NW,313,11s,18,ESE,Offshore,115,7°c,Good
Nazare,24/01,12pm,4-7ft,2ft,W,278,14s,18,ESE,Offshore,118,12°c,Good
Nazare,24/01,6pm,5-7ft,2.5ft,W,279,14s,13,E,Offshore,87,10°c,Good
Nazare,25/01,6am,5-7ft,2.5ft,W,280,13s,2,ENE,Offshore,72,8°c,Good
Nazare,25/01,12pm,4-7ft,2.5ft,W,281,12s,7,N,Onshore,354,14°c,Good
Nazare,25/01,6pm,4-6ft,2.5ft,W,281,12s,4,NNW,Onshore,332,8°c,Good
Nazare,26/01,6am,4-6ft,2ft,WNW,283,12s,4,SSE,Offshore,148,7°c,Good
Nazare,26/01,12pm,6-9ft,3ft,WNW,288,15s,10,S,Cross/Offshore,182,14°c,Good
Nazare,26/01,6pm,8-13ft,5ft,WNW,291,14s,9,SSW,Cross/Offshore,192,10°c,Good
Nazare,27/01,6am,8-13ft,5.5ft,WNW,293,13s,26,SSE,Offshore,160,10°c,Good
Nazare,27/01,12pm,9-14ft,6ft,WNW,298,12s,25,SW,Cross/Onshore,230,13°c,Good
Nazare,27/01,6pm,10-16ft,7.5ft,WNW,288,12s,23,SW,Onshore,231,13°c,Good
Nazare,28/01,6am,14-22ft,10ft,WNW,301,16s,18,SW,Cross/Onshore,221,13°c,Good
