date,time,range,height,period,wind_mph,wind_kmh,mph,temp,prob,swell_dir,swell_angle,wind,wind_dir,wind_angle
01/01,6am,5-8ft,7.5ft,12s,5,5,mph,15°c,100%,SW,228,Offshore,ENE,57
01/01,12pm,5-8ft,7.5ft,12s,10,11,mph,19°c,100%,SW,228,Onshore,SW,228
01/01,6pm,5-8ft,7.5ft,12s,14,18,mph,19°c,100%,SW,230,Onshore,SSW,211
02/01,6am,7-11ft,9.5ft,15s,11,15,mph,18°c,100%,SW,236,Cross/Onshore,S,189
02/01,12pm,7-11ft,10ft,15s,17,17,mph,19°c,100%,WSW,236,Onshore,SW,222
02/01,6pm,7-10ft,9.5ft,14s,16,20,mph,18°c,100%,WSW,237,Onshore,SW,223
03/01,6am,6-10ft,9.5ft,13s,18,22,mph,14°c,100%,SW,235,Onshore,SSW,208
03/01,12pm,6-9ft,9.5ft,13s,20,22,mph,16°c,100%,SW,232,Cross/Onshore,SSW,195
03/01,6pm,5-8ft,9ft,12s,17,20,mph,16°c,100%,SW,231,Cross/Offshore,S,173
04/01,6am,4-7ft,7ft,11s,8,10,mph,12°c,100%,SW,231,Offshore,E,80
04/01,12pm,4-6ft,6ft,10s,16,13,mph,17°c,100%,SW,230,Onshore,SW,231
04/01,6pm,3-5ft,5.5ft,10s,14,17,mph,17°c,100%,SW,228,Cross/Offshore,SSE,164
05/01,6am,3-5ft,4.5ft,10s,7,11,mph,13°c,100%,SW,229,Offshore,NE,46
05/01,12pm,3-4ft,4ft,10s,12,15,mph,21°c,100%,SW,228,Onshore,NW,310
05/01,6pm,3-4ft,4.5ft,10s,10,13,mph,19°c,100%,SW,226,Cross/Onshore,SSW,195
06/01,6am,5-8ft,7ft,14s,7,9,mph,15°c,100%,SW,230,Offshore,SE,130
06/01,12pm,6-10ft,9ft,15s,14,14,mph,22°c,100%,WSW,237,Cross/Onshore,SSW,197
06/01,6pm,7-12ft,10ft,16s,13,18,mph,21°c,100%,WSW,243,Cross/Offshore,S,175
07/01,6am,6-10ft,8.5ft,14s,8,11,mph,16°c,100%,WSW,240,Offshore,ESE,120
07/01,12pm,5-7ft,5.5ft,13s,14,15,mph,22°c,100%,WSW,254,Onshore,SW,218
07/01,6pm,4-6ft,5ft,13s,10,14,mph,21°c,100%,WSW,254,Cross/Onshore,SSW,204
08/01,6am,4-6ft,6ft,11s,7,8,mph,17°c,100%,SW,228,Cross/Onshore,S,186
08/01,12pm,3-5ft,4.5ft,12s,10,11,mph,19°c,100%,SW,221,Onshore,SW,228
08/01,6pm,3-5ft,4.5ft,12s,12,13,mph,19°c,100%,SW,224,Onshore,SSW,211
09/01,6am,7-10ft,9.5ft,14s,16,19,mph,17°c,100%,SW,234,Cross/Onshore,SSW,200
09/01,12pm,7-12ft,11.5ft,14s,18,21,mph,19°c,100%,SW,236,Cross/Onshore,SSW,198
09/01,6pm,7-11ft,11ft,14s,19,24,mph,18°c,100%,SW,235,Cross/Offshore,SSE,168
10/01,6am,6-9ft,9ft,13s,11,19,mph,13°c,100%,SW,232,Offshore,E,96
10/01,12pm,5-8ft,8ft,12s,11,14,mph,23°c,100%,SW,229,Cross/Offshore,SSE,160
10/01,6pm,4-7ft,7.5ft,12s,18,27,mph,21°c,100%,SW,220,Offshore,SSE,151
11/01,6am,3-5ft,5ft,11s,14,28,mph,15°c,100%,SW,224,Offshore,ENE,67
11/01,12pm,3-5ft,4.5ft,11s,11,12,mph,25°c,100%,SW,225,Onshore,WNW,294
11/01,6pm,3-5ft,3ft,16s,11,14,mph,22°c,100%,SW,233,Cross/Onshore,S,189
12/01,6am,4-6ft,4.5ft,14s,7,9,mph,18°c,100%,SW,233,Cross/Onshore,S,189
12/01,12pm,4-6ft,4.5ft,14s,17,19,mph,22°c,100%,SW,232,Cross/Onshore,SSW,194
12/01,6pm,3-5ft,4ft,14s,17,23,mph,20°c,100%,SW,232,Cross/Offshore,SSE,165
13/01,6am,5-8ft,7.5ft,13s,13,24,mph,14°c,100%,SW,224,Offshore,ESE,117
13/01,12pm,6-9ft,9ft,14s,16,17,mph,22°c,100%,SW,226,Cross/Offshore,SSE,168
13/01,6pm,6-9ft,10ft,14s,21,33,mph,19°c,100%,SW,223,Cross/Offshore,SSE,156
14/01,6am,5-8ft,8.5ft,13s,15,25,mph,15°c,100%,SW,227,Offshore,SE,137
14/01,12pm,5-8ft,8.5ft,13s,21,28,mph,21°c,100%,SW,222,Cross/Offshore,SSE,160
14/01,6pm,4-7ft,6.5ft,13s,23,36,mph,19°c,100%,SW,230,Offshore,SSE,152
15/01,6am,4-6ft,5.5ft,12s,17,30,mph,14°c,100%,SW,225,Offshore,SE,124
15/01,12pm,4-6ft,6.5ft,12s,14,18,mph,23°c,100%,SW,215,Cross/Offshore,SSE,157
15/01,6pm,4-6ft,6ft,12s,19,29,mph,22°c,100%,SW,223,Offshore,SSE,151
16/01,6am,4-7ft,7ft,13s,10,16,mph,14°c,100%,SW,221,Offshore,ESE,112
16/01,12pm,4-7ft,7ft,13s,15,15,mph,24°c,100%,SW,221,Cross/Onshore,SSW,197
16/01,6pm,4-6ft,7ft,13s,15,25,mph,22°c,100%,SW,216,Cross/Offshore,SSE,159
17/01,6am,3-5ft,5.5ft,12s,14,24,mph,17°c,100%,SW,216,Offshore,SE,144
17/01,12pm,3-5ft,4.5ft,12s,18,24,mph,20°c,100%,SW,223,Cross/Offshore,SSE,163
17/01,6pm,3-5ft,4ft,12s,19,25,mph,19°c,100%,SW,224,Cross/Offshore,SSE,164
18/01,6am,3-5ft,5.5ft,11s,10,17,mph,15°c,100%,SW,219,Offshore,SE,126
18/01,12pm,5-7ft,7ft,13s,18,21,mph,20°c,100%,SW,223,Cross/Offshore,SSE,167
18/01,6pm,5-7ft,7.5ft,13s,18,26,mph,19°c,100%,SW,222,Offshore,SSE,153
19/01,6am,4-7ft,6.5ft,13s,13,23,mph,13°c,100%,SW,225,Offshore,ESE,104
19/01,12pm,4-7ft,6.5ft,13s,16,15,mph,20°c,100%,SW,226,Onshore,SW,234
19/01,6pm,4-6ft,6ft,12s,16,21,mph,20°c,100%,SW,226,Cross/Offshore,SSE,163
20/01,6am,4-6ft,5.5ft,12s,11,16,mph,13°c,100%,SW,224,Offshore,SE,131
20/01,12pm,3-5ft,5ft,11s,18,19,mph,21°c,100%,SW,227,Cross/Onshore,S,190
20/01,6pm,3-5ft,4.5ft,11s,16,20,mph,19°c,100%,SW,227,Cross/Onshore,SSW,195
21/01,6am,4-7ft,5.5ft,13s,18,23,mph,19°c,100%,SW,228,Onshore,WSW,237
21/01,12pm,6-9ft,9.5ft,12s,19,22,mph,20°c,100%,SW,228,Onshore,SSW,210
21/01,6pm,6-9ft,10.5ft,12s,19,21,mph,18°c,100%,SW,227,Cross/Onshore,SSW,194
22/01,6am,7-12ft,11.5ft,15s,16,21,mph,17°c,100%,SW,230,Onshore,SSW,209
22/01,12pm,7-11ft,11ft,14s,16,20,mph,18°c,100%,SW,230,Onshore,SW,221
22/01,6pm,7-11ft,10.5ft,14s,18,22,mph,18°c,100%,SW,229,Onshore,SSW,207
23/01,6am,6-9ft,9.5ft,13s,12,17,mph,18°c,100%,SW,226,Cross-shore,S,180
23/01,12pm,5-8ft,9ft,12s,16,17,mph,20°c,100%,SW,225,Cross/Onshore,SSW,195
23/01,6pm,5-8ft,8ft,12s,15,20,mph,19°c,100%,SW,224,Cross-shore,S,175
24/01,6am,4-6ft,6.5ft,11s,6,8,mph,15°c,100%,SW,224,Offshore,E,100
24/01,12pm,4-6ft,6ft,11s,14,14,mph,21°c,100%,SW,224,Cross/Onshore,SSW,204
24/01,6pm,4-6ft,6ft,11s,15,19,mph,20°c,100%,SW,223,Cross/Onshore,S,187
25/01,6am,5-8ft,6.5ft,14s,6,8,mph,15°c,100%,SW,229,Offshore,ESE,106
25/01,12pm,5-7ft,6.5ft,13s,15,15,mph,22°c,100%,SW,229,Cross/Onshore,SSW,200
25/01,6pm,5-7ft,6.5ft,13s,16,21,mph,21°c,100%,SW,228,Cross/Offshore,S,173
26/01,6am,4-6ft,6ft,12s,10,17,mph,16°c,100%,SW,231,Offshore,ESE,120
26/01,12pm,3-5ft,4.5ft,12s,16,16,mph,23°c,100%,WSW,242,Cross/Onshore,SSW,200
26/01,6pm,3-5ft,3.5ft,11s,16,22,mph,22°c,100%,WSW,248,Cross/Offshore,S,173
27/01,6am,3-4ft,3ft,11s,9,14,mph,17°c,100%,WSW,250,Offshore,ESE,107
27/01,12pm,2-4ft,3ft,10s,15,16,mph,25°c,100%,WSW,249,Cross/Onshore,SSW,199
27/01,6pm,2-4ft,2.5ft,14s,14,19,mph,23°c,100%,WSW,244,Cross/Offshore,SSE,165
28/01,6am,3-4ft,4.5ft,13s,9,14,mph,17°c,100%,SSW,210,Offshore,SE,138
28/01,12pm,3-5ft,4.5ft,12s,14,15,mph,22°c,100%,SW,215,Onshore,SSW,213
28/01,6pm,4-6ft,4.5ft,12s,12,15,mph,21°c,100%,WSW,241,Onshore,SSW,210
29/01,6am,4-6ft,5.5ft,12s,1,3,mph,19°c,100%,WSW,241,Onshore,WSW,245
29/01,12pm,4-6ft,5.5ft,11s,10,12,mph,21°c,100%,WSW,243,Onshore,NW,322
29/01,6pm,4-6ft,5ft,10s,16,21,mph,21°c,100%,WSW,253,Onshore,WNW,287
30/01,6am,3-5ft,5.5ft,8s,21,27,mph,16°c,100%,SW,232,Cross-shore,S,181
30/01,12pm,3-5ft,4.5ft,9s,16,17,mph,18°c,100%,WSW,249,Cross/Onshore,SSW,198
30/01,6pm,5-7ft,6.5ft,12s,17,20,mph,17°c,100%,SW,233,Cross-shore,S,180
31/01,6am,5-7ft,7ft,12s,7,9,mph,15°c,100%,SW,235,Cross/Onshore,SSW,194
31/01,12pm,5-7ft,6.5ft,12s,11,11,mph,18°c,100%,SW,235,Onshore,SW,222
31/01,6pm,4-7ft,6ft,12s,13,15,mph,18°c,100%,SW,233,Cross/Onshore,S,190
01/02,6am,4-6ft,5.5ft,11s,7,9,mph,16°c,100%,SW,229,Offshore,SE,144
01/02,12pm,3-5ft,5.5ft,11s,12,12,mph,20°c,100%,SW,226,Onshore,SSW,207
01/02,6pm,3-5ft,5ft,10s,15,19,mph,19°c,100%,SW,225,Cross/Offshore,S,173
02/02,6am,3-5ft,5ft,10s,13,25,mph,15°c,100%,SW,216,Offshore,ESE,113
02/02,12pm,3-5ft,5ft,10s,11,13,mph,23°c,100%,SSW,213,Cross/Offshore,S,172
02/02,6pm,3-5ft,6ft,12s,19,30,mph,20°c,100%,SSW,205,Offshore,SSE,150
03/02,6am,3-5ft,5.5ft,13s,13,26,mph,15°c,100%,SSW,211,Offshore,E,100
03/02,12pm,3-5ft,5ft,13s,7,9,mph,27°c,100%,SW,214,Cross/Offshore,S,171
03/02,6pm,3-4ft,4ft,12s,16,26,mph,23°c,100%,SW,221,Offshore,SSE,149
04/02,6am,2-4ft,4ft,11s,13,26,mph,18°c,100%,SSW,211,Offshore,E,89
04/02,12pm,2-3ft,3ft,11s,5,8,mph,28°c,100%,SSW,211,Offshore,ESE,108
04/02,6pm,2-4ft,2.5ft,15s,10,12,mph,28°c,100%,SW,234,Cross/Offshore,SSE,157
05/02,6am,3-5ft,4.5ft,15s,8,15,mph,22°c,100%,SW,221,Offshore,ESE,102
05/02,12pm,3-4ft,3ft,16s,9,12,mph,28°c,100%,SW,231,Onshore,WSW,255
05/02,6pm,3-4ft,2.5ft,16s,2,3,mph,23°c,100%,SW,231,Onshore,SW,220
06/02,6am,3-5ft,4ft,14s,6,7,mph,20°c,100%,SW,222,Cross/Offshore,NNE,21
