date,time,range,height,period,wind_mph,wind_kmh,mph,temp,prob,swell_dir,swell_angle,wind,wind_dir,wind_angle
01/01,6am,4-7ft,6.5ft,13s,7,10,mph,20°c,100%,SW,223,Offshore,SE,137
01/01,12pm,5-7ft,7ft,14s,13,15,mph,25°c,100%,SW,222,Onshore,SSW,205
01/01,6pm,6-10ft,9ft,16s,13,20,mph,20°c,100%,SW,225,Cross/Offshore,SSE,168
02/01,6am,5-8ft,8ft,14s,10,12,mph,19°c,100%,SW,225,Onshore,SW,234
02/01,12pm,5-8ft,7.5ft,13s,13,16,mph,21°c,100%,SW,227,Onshore,W,274
02/01,6pm,4-6ft,6ft,13s,15,21,mph,21°c,100%,SW,226,Onshore,W,272
03/01,6am,6-9ft,10.5ft,11s,16,19,mph,17°c,100%,SW,232,Onshore,SW,223
03/01,12pm,8-12ft,13ft,13s,16,19,mph,18°c,100%,SW,235,Onshore,SW,221
03/01,6pm,9-14ft,14.5ft,14s,13,17,mph,16°c,100%,WSW,239,Onshore,SSW,211
04/01,6am,6-10ft,11ft,12s,12,14,mph,17°c,100%,SW,229,Onshore,SW,224
04/01,12pm,5-9ft,9.5ft,12s,13,13,mph,20°c,100%,SW,226,Onshore,SW,222
04/01,6pm,4-7ft,6ft,11s,9,13,mph,18°c,100%,WSW,247,Cross/Onshore,SSW,192
05/01,6am,4-6ft,5.5ft,10s,5,7,mph,18°c,100%,WSW,240,Offshore,ESE,104
05/01,12pm,4-6ft,5ft,10s,14,14,mph,22°c,100%,WSW,238,Cross/Onshore,SSW,197
05/01,6pm,3-5ft,5ft,10s,16,26,mph,18°c,100%,WSW,237,Offshore,SSE,154
06/01,6am,3-5ft,6ft,10s,11,16,mph,19°c,100%,SW,220,Offshore,SE,131
06/01,12pm,4-6ft,6ft,10s,17,22,mph,25°c,100%,SW,220,Cross-shore,S,175
06/01,6pm,4-6ft,6ft,12s,18,29,mph,19°c,100%,SW,224,Cross/Offshore,SSE,156
07/01,6am,5-8ft,8ft,15s,15,23,mph,19°c,100%,SW,219,Offshore,SSE,153
07/01,12pm,5-8ft,7.5ft,14s,19,26,mph,23°c,100%,SW,223,Cross/Offshore,SSE,167
07/01,6pm,5-7ft,6.5ft,13s,21,33,mph,18°c,100%,SW,224,Offshore,SSE,150
08/01,6am,4-6ft,6ft,13s,13,20,mph,17°c,100%,SW,224,Offshore,SE,125
08/01,12pm,4-6ft,6ft,13s,16,20,mph,24°c,100%,SW,223,Cross/Offshore,S,171
08/01,6pm,4-6ft,6ft,12s,17,28,mph,19°c,100%,SW,223,Offshore,SSE,154
09/01,6am,3-5ft,5.5ft,12s,7,11,mph,18°c,100%,SW,219,Offshore,ESE,102
09/01,12pm,3-5ft,5ft,12s,14,16,mph,24°c,100%,SW,221,Cross/Onshore,SSW,195
09/01,6pm,3-5ft,5.5ft,12s,13,20,mph,20°c,100%,SW,218,Cross/Offshore,SSE,164
10/01,6am,3-5ft,4.5ft,11s,11,14,mph,20°c,100%,SW,222,Onshore,SSW,209
10/01,12pm,3-5ft,4ft,11s,15,18,mph,20°c,100%,SW,224,Onshore,SW,233
10/01,6pm,2-4ft,3ft,11s,13,18,mph,19°c,100%,SW,228,Onshore,SW,224
11/01,6am,3-4ft,3.5ft,12s,7,8,mph,18°c,100%,SW,234,Cross/Onshore,S,189
11/01,12pm,4-6ft,6.5ft,10s,12,12,mph,21°c,100%,SW,227,Onshore,SW,226
11/01,6pm,4-6ft,6ft,10s,10,14,mph,18°c,100%,SW,229,Cross-shore,S,182
12/01,6am,4-6ft,6.5ft,11s,5,5,mph,19°c,100%,SW,227,Cross/Offshore,S,172
12/01,12pm,4-6ft,6ft,11s,14,15,mph,24°c,100%,SW,227,Onshore,SSW,211
12/01,6pm,4-6ft,6ft,11s,13,20,mph,20°c,100%,SW,227,Cross/Offshore,S,170
13/01,6am,6-10ft,8.5ft,16s,14,21,mph,21°c,100%,SW,230,Onshore,SSW,206
13/01,12pm,7-11ft,10.5ft,16s,16,19,mph,23°c,100%,SW,230,Cross/Onshore,S,186
13/01,6pm,7-11ft,10.5ft,15s,16,23,mph,19°c,100%,SW,229,Cross/Offshore,SSE,166
