date,time,range,height,period,wind_mph,wind_kmh,mph,temp,prob,swell_dir,swell_angle,wind,wind_dir,wind_angle
01/01,6am,2-3ft,2ft,14s,10,12,mph,14°c,100%,WNW,299,Offshore,SE,135
01/01,12pm,1-2ft,2ft,14s,12,14,mph,20°c,100%,WNW,301,Offshore,SE,137
01/01,6pm,1-2ft,1.8ft,13s,8,10,mph,17°c,100%,WNW,302,Cross/Offshore,E,100
02/01,6am,1-2ft,1.5ft,12s,8,10,mph,14°c,100%,NW,308,Cross/Offshore,ESE,102
02/01,12pm,1-2ft,1.4ft,11s,10,11,mph,19°c,100%,NW,310,Cross/Offshore,ESE,104
02/01,6pm,1ft,1ft,11s,6,8,mph,17°c,100%,NW,322,Cross/Onshore,ENE,78
03/01,6am,1ft,0.7ft,10s,7,8,mph,13°c,100%,WNW,301,Onshore,ENE,63
03/01,12pm,1ft,1.1ft,4s,8,8,mph,18°c,100%,NE,38,Cross/Onshore,ENE,76
03/01,6pm,1ft,1ft,13s,8,8,mph,16°c,100%,WNW,303,Onshore,ENE,58
04/01,6am,1ft,0.9ft,12s,5,7,mph,13°c,100%,WNW,301,Cross/Onshore,ENE,70
04/01,12pm,1-2ft,0.9ft,16s,7,8,mph,17°c,100%,N,3,Cross/Offshore,ESE,107
04/01,6pm,2-3ft,1.3ft,15s,6,6,mph,16°c,100%,N,1,Cross/Offshore,E,100
05/01,6am,2-3ft,1.7ft,14s,6,8,mph,13°c,100%,N,3,Cross-shore,E,87
05/01,12pm,2-3ft,1.8ft,13s,10,14,mph,18°c,100%,N,4,Cross/Offshore,ESE,108
05/01,6pm,2-3ft,1.6ft,13s,7,9,mph,16°c,100%,N,4,Cross/Offshore,ESE,102
06/01,6am,1-2ft,1.2ft,12s,13,19,mph,14°c,100%,N,5,Cross/Offshore,ESE,113
06/01,12pm,1-2ft,1.3ft,15s,15,17,mph,18°c,100%,NW,315,Offshore,ESE,120
06/01,6pm,2-3ft,1.7ft,14s,9,11,mph,16°c,100%,NW,315,Cross-shore,E,90
07/01,6am,2ft,1.7ft,14s,16,23,mph,15°c,100%,NW,313,Cross/Offshore,E,101
07/01,12pm,1-2ft,1.4ft,13s,13,16,mph,18°c,100%,NW,314,Cross/Offshore,ESE,101
07/01,6pm,1-2ft,1.3ft,13s,9,12,mph,16°c,100%,NW,315,Cross-shore,E,88
08/01,6am,1ft,1.3ft,5s,7,8,mph,13°c,100%,NNE,30,Cross/Onshore,E,85
08/01,12pm,1-2ft,1.3ft,14s,9,11,mph,18°c,100%,WNW,302,Cross-shore,E,94
08/01,6pm,1-2ft,1.4ft,13s,8,9,mph,16°c,100%,WNW,301,Cross/Onshore,ENE,77
09/01,6am,1ft,1.1ft,12s,6,7,mph,12°c,100%,WNW,302,Cross/Onshore,ENE,77
09/01,12pm,1ft,1ft,5s,7,7,mph,18°c,100%,NNE,29,Cross/Onshore,ENE,78
09/01,6pm,1ft,0.9ft,5s,6,7,mph,16°c,100%,NNE,30,Onshore,NE,50
10/01,6am,1ft,1ft,5s,7,9,mph,12°c,100%,NNE,26,Onshore,NNE,21
10/01,12pm,1ft,0.7ft,9s,9,9,mph,16°c,100%,NNE,11,Onshore,NNE,25
10/01,6pm,1ft,1ft,9s,8,9,mph,15°c,100%,N,11,Onshore,NNE,26
11/01,6am,1-2ft,1.5ft,8s,3,4,mph,10°c,100%,NNE,16,Onshore,ENE,61
11/01,12pm,1-2ft,1.4ft,9s,6,5,mph,16°c,100%,NNE,15,Cross/Onshore,ENE,76
11/01,6pm,1-2ft,1.4ft,9s,6,6,mph,15°c,100%,NNE,15,Cross-shore,E,89
12/01,6am,1-2ft,1.6ft,8s,6,8,mph,12°c,100%,NNE,23,Cross-shore,E,93
12/01,12pm,1-2ft,1.5ft,8s,10,11,mph,17°c,100%,N,11,Cross/Offshore,ESE,107
12/01,6pm,2ft,1.8ft,9s,8,9,mph,16°c,100%,N,10,Cross/Offshore,ESE,101
13/01,6am,1-2ft,1.7ft,9s,6,8,mph,13°c,100%,N,11,Cross/Offshore,ESE,104
13/01,12pm,2ft,1.8ft,8s,13,17,mph,20°c,100%,NNE,14,Offshore,SE,141
13/01,6pm,2ft,1.9ft,8s,8,11,mph,17°c,100%,NNE,17,Cross/Offshore,ESE,113
14/01,6am,1-2ft,1.7ft,8s,10,13,mph,14°c,100%,NNE,19,Offshore,SE,127
14/01,12pm,1-2ft,1.4ft,8s,12,14,mph,18°c,100%,NNE,19,Offshore,SE,126
14/01,6pm,Plano,2ft,5s,7,8,mph,16°c,100%,E,97,Cross/Offshore,E,95
15/01,6am,1-2ft,1.5ft,9s,7,8,mph,12°c,100%,N,10,Cross/Onshore,ENE,76
15/01,12pm,2-3ft,1.6ft,15s,13,13,mph,18°c,100%,N,5,Cross/Onshore,ENE,70
15/01,6pm,2-3ft,1.8ft,15s,12,13,mph,16°c,100%,N,5,Onshore,NE,51
16/01,6am,2-3ft,1.7ft,14s,14,19,mph,12°c,100%,N,5,Onshore,NNE,25
16/01,12pm,2-3ft,1.6ft,14s,15,16,mph,16°c,100%,N,5,Onshore,NNE,21
16/01,6pm,2-3ft,1.4ft,14s,15,17,mph,15°c,100%,N,5,Onshore,N,8
