date,time,range,height,period,wind_mph,wind_kmh,mph,temp,prob,swell_dir,swell_angle,wind,wind_dir,wind_angle
01/01,6am,2-3ft,3.5ft,6s,12,19,mph,15°c,100%,NNE,29,Onshore,NE,42
01/01,12pm,2-3ft,4ft,6s,13,19,mph,18°c,100%,NNE,32,Onshore,NE,45
01/01,6pm,2-3ft,3.5ft,7s,14,21,mph,17°c,100%,NNE,31,Onshore,NNE,31
02/01,6am,2-3ft,4.5ft,7s,11,16,mph,15°c,100%,NNE,33,Onshore,NE,44
02/01,12pm,2-3ft,4.5ft,7s,13,19,mph,20°c,100%,NE,35,Onshore,ENE,60
02/01,6pm,2-3ft,4ft,7s,12,21,mph,19°c,100%,NE,36,Onshore,NE,55
03/01,6am,2-3ft,3ft,8s,8,9,mph,14°c,100%,NNE,33,Onshore,NNE,34
03/01,12pm,2-3ft,3ft,7s,9,10,mph,20°c,100%,NNE,30,Onshore,NE,52
03/01,6pm,2ft,3.5ft,8s,9,12,mph,18°c,100%,NNE,26,Onshore,NE,40
04/01,6am,2ft,3ft,7s,8,9,mph,14°c,100%,NNE,31,Onshore,NE,39
04/01,12pm,2ft,3ft,7s,9,10,mph,19°c,100%,NNE,33,Onshore,NE,49
04/01,6pm,1-2ft,2.5ft,7s,8,9,mph,17°c,100%,NE,34,Onshore,NNE,29
05/01,6am,1-2ft,1.9ft,6s,7,9,mph,14°c,100%,NNE,30,Cross/Onshore,N,7
05/01,12pm,1ft,1.6ft,6s,7,7,mph,18°c,100%,NNE,31,Cross/Offshore,N,353
05/01,6pm,1ft,1.3ft,6s,10,11,mph,17°c,100%,NNE,24,Cross/Offshore,NNW,340
06/01,6am,Plano,4ft,5s,21,30,mph,15°c,100%,NNW,339,Offshore,NNW,334
06/01,12pm,Plano,0.4ft,16s,27,31,mph,17°c,100%,N,356,Offshore,NNW,331
06/01,6pm,Plano,0.6ft,15s,26,32,mph,16°c,100%,N,357,Offshore,NW,326
07/01,6am,1ft,2.5ft,14s,22,30,mph,13°c,100%,N,359,Cross/Offshore,N,352
07/01,12pm,1ft,9.5ft,13s,21,24,mph,16°c,100%,N,350,Cross/Offshore,N,355
07/01,6pm,0-1ft,10.5ft,16s,23,27,mph,14°c,100%,NNW,347,Cross/Offshore,NNW,337
08/01,6am,1ft,8.5ft,13s,19,26,mph,14°c,100%,NNW,348,Cross/Offshore,NNW,340
08/01,12pm,1ft,7.5ft,13s,12,17,mph,17°c,100%,N,351,Offshore,NNW,327
08/01,6pm,1-2ft,6ft,12s,10,12,mph,16°c,100%,N,358,Cross/Offshore,N,351
09/01,6am,1-2ft,5.5ft,13s,5,6,mph,13°c,100%,N,360,Cross/Onshore,NNE,19
09/01,12pm,1-2ft,5ft,12s,6,8,mph,18°c,100%,N,1,Cross/Onshore,NNE,18
09/01,6pm,1-2ft,4ft,12s,4,4,mph,17°c,100%,N,2,Cross-shore,N,1
10/01,6am,1-2ft,3.5ft,11s,9,11,mph,15°c,100%,N,5,Cross-shore,N,0
10/01,12pm,1-2ft,3ft,11s,12,13,mph,19°c,100%,N,5,Cross/Onshore,NNE,17
10/01,6pm,1-2ft,2.5ft,10s,11,14,mph,17°c,100%,N,8,Onshore,NNE,32
11/01,6am,1-2ft,2ft,4s,15,20,mph,15°c,100%,NE,34,Onshore,NE,53
11/01,12pm,1-2ft,3ft,6s,12,14,mph,17°c,100%,NNE,27,Onshore,NE,50
11/01,6pm,1-2ft,3ft,6s,11,14,mph,16°c,100%,NNE,29,Onshore,NE,41
12/01,6am,1-2ft,2.5ft,6s,7,8,mph,13°c,100%,NE,41,Onshore,NE,44
12/01,12pm,1-2ft,2ft,6s,8,8,mph,17°c,100%,NE,43,Onshore,NE,41
12/01,6pm,1-2ft,1.7ft,6s,9,9,mph,16°c,100%,NE,47,Onshore,NNE,30
13/01,6am,1ft,2ft,10s,8,9,mph,12°c,100%,N,10,Cross/Onshore,NNE,23
13/01,12pm,1ft,2ft,10s,12,13,mph,16°c,100%,N,10,Onshore,NE,35
13/01,6pm,1ft,1.7ft,4s,13,15,mph,14°c,100%,NNE,33,Onshore,NNE,33
14/01,6am,1-2ft,3ft,4s,19,25,mph,15°c,100%,NNE,27,Onshore,NE,35
14/01,12pm,2-3ft,4.5ft,6s,19,22,mph,15°c,100%,NNE,19,Onshore,NE,35
14/01,6pm,1-2ft,4ft,6s,19,21,mph,15°c,100%,NNE,21,Onshore,NNE,28
15/01,6am,1-2ft,3.5ft,6s,18,25,mph,13°c,100%,NNE,14,Cross/Onshore,N,8
15/01,12pm,1ft,5.5ft,6s,27,32,mph,16°c,100%,N,358,Cross/Offshore,N,353
15/01,6pm,2ft,6ft,7s,24,28,mph,14°c,100%,N,9,Cross/Onshore,NNE,23
16/01,6am,3-5ft,9ft,8s,28,37,mph,12°c,100%,NNE,18,Cross/Onshore,NNE,23
16/01,12pm,4-6ft,10.5ft,9s,31,37,mph,15°c,100%,NNE,23,Onshore,NNE,26
16/01,6pm,4-6ft,9.5ft,9s,25,32,mph,14°c,100%,NNE,27,Onshore,NNE,29
17/01,6am,3-5ft,7ft,9s,21,29,mph,13°c,100%,NNE,25,Cross/Onshore,NNE,13
17/01,12pm,3-4ft,6.5ft,8s,21,26,mph,16°c,100%,NNE,23,Cross/Onshore,NNE,13
17/01,6pm,2-3ft,5.5ft,8s,19,23,mph,15°c,100%,NNE,21,Cross/Onshore,N,6
18/01,6am,2ft,4.5ft,8s,19,27,mph,14°c,100%,NNE,15,Cross-shore,N,3
18/01,12pm,1-2ft,5ft,7s,22,25,mph,16°c,100%,N,10,Cross-shore,N,359
18/01,6pm,1-2ft,5.5ft,8s,21,25,mph,15°c,100%,N,5,Cross/Offshore,N,354
19/01,6am,2-3ft,5.5ft,8s,20,28,mph,14°c,100%,N,8,Cross/Onshore,N,11
19/01,12pm,2ft,8.5ft,16s,21,24,mph,16°c,100%,N,356,Cross/Onshore,NNE,18
19/01,6pm,2-3ft,6ft,9s,21,25,mph,15°c,100%,N,11,Cross/Onshore,NNE,21
20/01,6am,2-3ft,5.5ft,9s,16,22,mph,14°c,100%,NNE,16,Onshore,NNE,31
20/01,12pm,2-3ft,5ft,9s,16,20,mph,16°c,100%,NNE,19,Onshore,NE,46
20/01,6pm,2-3ft,4.5ft,9s,12,15,mph,15°c,100%,NNE,23,Onshore,NE,46
21/01,6am,1-2ft,3ft,8s,7,8,mph,13°c,100%,NNE,22,Onshore,ENE,67
21/01,12pm,1-2ft,2.5ft,7s,10,15,mph,19°c,100%,NNE,16,Onshore,E,89
21/01,6pm,1ft,2.5ft,7s,8,9,mph,17°c,100%,NNE,16,Onshore,NE,47
22/01,6am,1-2ft,2ft,7s,7,8,mph,13°c,100%,NNE,24,Onshore,NE,38
22/01,12pm,1-2ft,2.5ft,6s,8,8,mph,18°c,100%,NNE,24,Onshore,NE,55
22/01,6pm,1-2ft,2.5ft,6s,10,11,mph,16°c,100%,NNE,26,Onshore,NE,36
23/01,6am,1-2ft,2.5ft,6s,9,11,mph,13°c,100%,NNE,25,Onshore,NNE,30
23/01,12pm,1-2ft,2.5ft,6s,8,9,mph,18°c,100%,NNE,25,Onshore,ENE,63
23/01,6pm,1-2ft,3ft,6s,11,12,mph,16°c,100%,NNE,26,Onshore,NE,36
24/01,6am,1-2ft,3ft,6s,10,13,mph,13°c,100%,NNE,30,Onshore,NE,36
24/01,12pm,1-2ft,2.5ft,6s,10,11,mph,17°c,100%,NNE,31,Onshore,NE,47
24/01,6pm,1-2ft,2.5ft,6s,10,12,mph,16°c,100%,NNE,31,Onshore,NNE,31
25/01,6am,1-2ft,2.5ft,6s,10,12,mph,12°c,100%,NNE,30,Onshore,NNE,26
25/01,12pm,1-2ft,2.5ft,6s,13,15,mph,16°c,100%,NNE,31,Onshore,NNE,33
25/01,6pm,1-2ft,3ft,6s,16,20,mph,14°c,100%,NNE,30,Onshore,NNE,26
26/01,6am,2-3ft,4.5ft,6s,21,27,mph,13°c,100%,NNE,33,Onshore,NE,38
26/01,12pm,2-4ft,5.5ft,6s,25,29,mph,16°c,100%,NE,36,Onshore,NE,40
26/01,6pm,3-4ft,7ft,7s,26,31,mph,14°c,100%,NNE,29,Onshore,NE,37
27/01,6am,3-5ft,8.5ft,8s,26,34,mph,12°c,100%,NNE,27,Onshore,NE,35
