date,time,range,height,period,wind_mph,wind_kmh,mph,temp,prob,swell_dir,swell_angle,wind,wind_dir,wind_angle
01/01,6am,3-5ft,1.9ft,16s,5,5,mph,21°c,100%,SSW,214,Offshore,NNE,16
01/01,12pm,3-5ft,1.7ft,16s,5,6,mph,31°c,100%,SSW,212,Onshore,SSW,194
01/01,6pm,2-4ft,1.2ft,17s,4,5,mph,23°c,100%,SSW,211,Onshore,SW,216
02/01,6am,3-5ft,1.8ft,15s,7,10,mph,20°c,100%,SW,214,Offshore,NNE,15
02/01,12pm,3-5ft,1.9ft,15s,1,7,mph,34°c,100%,SSW,213,Onshore,S,190
02/01,6pm,3-5ft,1.8ft,15s,3,4,mph,23°c,100%,SSW,213,Onshore,SSW,209
03/01,6am,3-4ft,1.5ft,16s,6,7,mph,20°c,100%,SSW,194,Offshore,NNE,17
03/01,12pm,4-6ft,2ft,15s,4,6,mph,31°c,100%,SSW,202,Onshore,SSW,192
03/01,6pm,4-6ft,2.5ft,14s,3,4,mph,23°c,100%,SSW,201,Onshore,SSW,211
04/01,6am,4-6ft,2.5ft,14s,7,10,mph,19°c,100%,SSW,202,Offshore,NNE,16
04/01,12pm,4-6ft,2.5ft,13s,4,6,mph,31°c,100%,SSW,201,Onshore,S,189
04/01,6pm,4-6ft,2.5ft,13s,3,4,mph,22°c,100%,SSW,201,Onshore,SSW,206
05/01,6am,3-5ft,2ft,13s,5,6,mph,19°c,100%,SSW,202,Offshore,NNE,15
05/01,12pm,3-5ft,2ft,13s,6,4,mph,29°c,100%,SSW,203,Onshore,SSW,203
05/01,6pm,3-5ft,2ft,13s,3,4,mph,22°c,100%,SSW,204,Onshore,SSW,199
06/01,6am,3-5ft,1.9ft,12s,5,6,mph,19°c,100%,SSW,199,Offshore,NNE,13
06/01,12pm,3-4ft,1.8ft,12s,5,5,mph,30°c,100%,SSW,197,Onshore,SSW,198
06/01,6pm,3-4ft,1.7ft,12s,4,5,mph,22°c,100%,SSW,195,Onshore,SSW,199
07/01,6am,3-5ft,1.8ft,13s,6,6,mph,19°c,100%,SSW,199,Offshore,NNE,16
07/01,12pm,3-5ft,1.8ft,13s,6,5,mph,29°c,100%,SSW,200,Onshore,SSW,207
07/01,6pm,2-3ft,1.2ft,11s,3,4,mph,22°c,100%,SSW,198,Onshore,SW,219
08/01,6am,2-4ft,1.5ft,12s,4,5,mph,19°c,100%,SSW,200,Offshore,NNE,16
08/01,12pm,2-4ft,1.5ft,12s,6,5,mph,28°c,100%,SSW,202,Onshore,SSW,208
08/01,6pm,2-4ft,1.4ft,12s,3,5,mph,22°c,100%,SSW,203,Onshore,SSW,204
09/01,6am,2-3ft,1.2ft,11s,6,6,mph,18°c,100%,SSW,198,Offshore,NNE,15
09/01,12pm,2-3ft,1ft,12s,6,4,mph,29°c,100%,SW,216,Onshore,SSW,204
09/01,6pm,2-4ft,1.4ft,11s,3,5,mph,22°c,100%,SSW,201,Onshore,SSW,208
10/01,6am,2-3ft,1ft,18s,5,5,mph,19°c,100%,SW,215,Offshore,NNE,13
10/01,12pm,2-3ft,1.4ft,12s,6,5,mph,29°c,100%,SSW,204,Onshore,SSW,212
10/01,6pm,2-3ft,1.1ft,11s,3,4,mph,22°c,100%,SSW,212,Onshore,SW,225
11/01,6am,3-4ft,1.4ft,16s,4,5,mph,19°c,100%,SW,215,Offshore,N,8
11/01,12pm,2-4ft,1.3ft,16s,7,9,mph,29°c,100%,SSW,212,Onshore,SW,232
11/01,6pm,3-4ft,1.6ft,11s,4,7,mph,23°c,100%,SSW,203,Onshore,SW,231
12/01,6am,3-4ft,1.6ft,15s,4,5,mph,20°c,100%,SSW,210,Offshore,NNE,33
12/01,12pm,3-5ft,1.8ft,15s,5,8,mph,29°c,100%,SSW,211,Onshore,SSW,198
12/01,6pm,4-6ft,2ft,15s,4,7,mph,23°c,100%,SSW,207,Onshore,SW,219
13/01,6am,4-6ft,2.5ft,16s,6,7,mph,18°c,100%,SSW,204,Offshore,NNE,14
13/01,12pm,5-7ft,3ft,14s,4,5,mph,31°c,100%,SSW,202,Onshore,S,188
13/01,6pm,5-7ft,3ft,14s,3,4,mph,22°c,100%,SSW,204,Onshore,SW,220
14/01,6am,4-7ft,3ft,13s,8,14,mph,18°c,100%,SSW,201,Offshore,NNE,16
14/01,12pm,4-6ft,2.5ft,13s,2,8,mph,32°c,100%,SSW,198,Offshore,NNE,29
14/01,6pm,4-6ft,2.5ft,13s,3,3,mph,21°c,100%,SSW,198,Onshore,SW,220
15/01,6am,3-5ft,2ft,12s,8,12,mph,17°c,100%,SSW,198,Offshore,NNE,16
15/01,12pm,3-5ft,2ft,12s,2,5,mph,32°c,100%,SSW,200,Onshore,S,190
15/01,6pm,4-6ft,2.5ft,14s,3,4,mph,21°c,100%,SSW,204,Onshore,SW,215
16/01,6am,5-8ft,3ft,16s,6,7,mph,19°c,100%,SSW,203,Offshore,NNE,16
16/01,12pm,5-7ft,3ft,14s,5,4,mph,30°c,100%,SSW,203,Onshore,S,191
16/01,6pm,5-7ft,3ft,14s,3,4,mph,22°c,100%,SSW,203,Onshore,SSW,208
17/01,6am,4-7ft,3ft,14s,8,13,mph,20°c,100%,SSW,203,Offshore,NNE,18
17/01,12pm,4-7ft,3ft,14s,2,9,mph,33°c,100%,SSW,204,Offshore,ENE,73
17/01,6pm,4-6ft,2.5ft,13s,3,3,mph,23°c,100%,SSW,205,Onshore,SSW,213
18/01,6am,3-5ft,2ft,13s,8,13,mph,20°c,100%,SSW,204,Offshore,NNE,17
18/01,12pm,3-5ft,2ft,13s,2,6,mph,33°c,100%,SSW,203,Onshore,SSE,163
18/01,6pm,3-5ft,1.9ft,13s,3,4,mph,23°c,100%,SSW,204,Onshore,S,185
19/01,6am,3-4ft,1.7ft,13s,6,8,mph,20°c,100%,SSW,198,Offshore,NNE,17
19/01,12pm,3-4ft,1.6ft,15s,5,4,mph,31°c,100%,SW,214,Onshore,SSW,194
19/01,6pm,3-4ft,1.6ft,15s,3,3,mph,23°c,100%,SSW,213,Onshore,SSW,204
20/01,6am,3-4ft,1.5ft,14s,5,6,mph,20°c,100%,SW,214,Offshore,NNE,16
20/01,12pm,3-4ft,1.6ft,14s,6,3,mph,31°c,100%,SW,215,Onshore,SSW,201
20/01,6pm,3-4ft,1.6ft,13s,3,4,mph,24°c,100%,SW,214,Onshore,SSW,194
21/01,6am,3-4ft,1.7ft,13s,5,5,mph,21°c,100%,SW,214,Offshore,NNE,12
21/01,12pm,3-4ft,1.7ft,13s,6,5,mph,31°c,100%,SW,214,Onshore,SSW,208
21/01,6pm,3-5ft,1.8ft,13s,3,5,mph,24°c,100%,SW,215,Onshore,SW,219
