date,time,range,height,period,wind_mph,wind_kmh,mph,temp,prob,swell_dir,swell_angle,wind,wind_dir,wind_angle
01/01,6am,3-5ft,2.5ft,16s,14,24,mph,21°c,100%,NW,316,Offshore,E,93
01/01,12pm,4-6ft,4ft,16s,14,20,mph,24°c,100%,NW,315,Offshore,E,86
01/01,6pm,5-8ft,5.5ft,16s,8,17,mph,20°c,100%,NW,314,Cross/Offshore,E,82
02/01,6am,6-9ft,6ft,15s,12,22,mph,20°c,100%,NW,313,Cross/Offshore,E,81
02/01,12pm,6-9ft,6ft,15s,14,20,mph,24°c,100%,NW,313,Cross/Offshore,E,81
02/01,6pm,6-9ft,6ft,15s,10,20,mph,21°c,100%,NW,313,Cross/Offshore,ENE,76
03/01,6am,6-9ft,6.5ft,15s,11,21,mph,20°c,100%,NW,312,Cross/Offshore,ENE,65
03/01,12pm,6-9ft,6ft,15s,16,23,mph,24°c,100%,NW,313,Cross/Offshore,ENE,65
03/01,6pm,5-8ft,5.5ft,14s,15,26,mph,20°c,100%,NW,312,Cross/Offshore,ENE,67
04/01,6am,4-6ft,4ft,13s,14,26,mph,20°c,100%,NW,313,Cross/Offshore,E,81
04/01,12pm,4-5ft,3.5ft,13s,18,26,mph,24°c,100%,NW,314,Cross/Offshore,E,84
04/01,6pm,3-5ft,3ft,13s,14,26,mph,20°c,100%,NW,315,Offshore,E,86
05/01,6am,4-6ft,4ft,13s,11,21,mph,20°c,100%,NW,322,Cross/Offshore,E,82
05/01,12pm,4-6ft,4ft,12s,14,19,mph,24°c,100%,NW,323,Offshore,E,89
05/01,6pm,4-6ft,4ft,11s,5,8,mph,20°c,100%,NNW,340,Offshore,E,101
06/01,6am,2-3ft,2.5ft,10s,3,4,mph,19°c,100%,N,356,Onshore,NNW,332
06/01,12pm,3-4ft,2.5ft,12s,7,8,mph,25°c,100%,NW,314,Onshore,NNW,340
06/01,6pm,2-4ft,2.5ft,12s,4,5,mph,20°c,100%,NW,312,Onshore,NNE,11
07/01,6am,2-3ft,2ft,11s,4,5,mph,19°c,100%,NW,310,Cross/Onshore,NE,44
