date,time,range,height,period,wind_mph,wind_kmh,mph,temp,prob,swell_dir,swell_angle,wind,wind_dir,wind_angle
01/01,6am,Plano,6ft,13s,17,19,mph,27°c,100%,SSW,206,Onshore,W,280
01/01,12pm,Plano,5.5ft,12s,11,12,mph,27°c,100%,SSW,204,Onshore,W,263
01/01,6pm,Plano,5.5ft,12s,6,6,mph,28°c,100%,SSW,202,Onshore,SW,220
02/01,6am,Plano,5ft,12s,4,3,mph,27°c,100%,SSW,202,Offshore,NNE,28
02/01,12pm,Plano,4.5ft,12s,7,7,mph,28°c,100%,SSW,201,Cross/Onshore,SE,143
02/01,6pm,Plano,4.5ft,11s,10,12,mph,29°c,100%,SSW,200,Cross-shore,SE,126
03/01,6am,Plano,4ft,11s,4,3,mph,28°c,100%,SSW,200,Offshore,NNE,28
03/01,12pm,Plano,3ft,15s,5,6,mph,29°c,100%,SSW,213,Onshore,SSE,160
03/01,6pm,Plano,3.5ft,14s,10,11,mph,29°c,100%,SSW,213,Cross/Offshore,ESE,114
04/01,6am,Plano,4ft,13s,5,4,mph,28°c,100%,SSW,213,Offshore,NNE,25
04/01,12pm,Plano,4ft,13s,6,6,mph,28°c,100%,SSW,214,Cross/Onshore,SE,143
04/01,6pm,Plano,4ft,13s,8,8,mph,29°c,100%,SSW,210,Offshore,ESE,104
05/01,6am,Plano,3.5ft,12s,6,5,mph,28°c,100%,SSW,211,Offshore,NNW,336
05/01,12pm,Plano,3.5ft,12s,5,5,mph,28°c,100%,SSW,212,Onshore,WSW,244
05/01,6pm,Plano,3.5ft,12s,7,7,mph,29°c,100%,SSW,212,Onshore,S,186
06/01,6am,Plano,3ft,15s,7,8,mph,28°c,100%,SW,218,Onshore,WNW,285
06/01,12pm,Plano,3ft,14s,10,11,mph,28°c,100%,SW,218,Onshore,WSW,257
06/01,6pm,Plano,3ft,14s,8,8,mph,29°c,100%,SW,217,Cross/Onshore,WNW,301
07/01,6am,Plano,4ft,13s,12,14,mph,28°c,100%,SSW,214,Cross/Onshore,WNW,289
07/01,12pm,Plano,3.5ft,13s,12,13,mph,29°c,100%,SSW,213,Onshore,WSW,257
07/01,6pm,Plano,3.5ft,13s,13,15,mph,28°c,100%,SW,215,Onshore,W,263
08/01,6am,Plano,3.5ft,12s,2,2,mph,28°c,100%,SSW,210,Offshore,ENE,74
08/01,12pm,Plano,4ft,12s,3,3,mph,28°c,100%,SSW,207,Onshore,SSW,194
08/01,6pm,Plano,4ft,12s,2,2,mph,29°c,100%,SSW,205,Onshore,S,169
09/01,6am,Plano,4.5ft,11s,3,3,mph,28°c,100%,SSW,201,Cross-shore,NW,311
