date,time,range,height,period,wind_mph,wind_kmh,mph,temp,prob,swell_dir,swell_angle,wind,wind_dir,wind_angle
01/01,6am,7-11ft,5ft,11s,3,4,mph,6°c,100%,NW,306,Offshore,ESE,115
01/01,12pm,7-11ft,5ft,10s,4,6,mph,13°c,100%,NW,310,Offshore,SE,144
01/01,6pm,6-10ft,4.5ft,10s,1,1,mph,8°c,100%,NW,309,Offshore,S,171
02/01,6am,4-7ft,2.5ft,10s,5,6,mph,6°c,100%,NW,322,Offshore,SE,129
02/01,12pm,5-8ft,3ft,12s,6,9,mph,11°c,100%,W,276,Offshore,SSE,156
02/01,6pm,7-11ft,3.5ft,19s,4,5,mph,11°c,100%,W,276,Offshore,SE,128
03/01,6am,12-18ft,8ft,15s,5,8,mph,10°c,100%,W,280,Offshore,SSE,151
03/01,12pm,12-18ft,8.5ft,14s,4,6,mph,13°c,100%,W,280,Offshore,SSE,160
03/01,6pm,12-18ft,8ft,14s,1,2,mph,10°c,100%,WNW,283,Onshore,W,260
04/01,6am,10-16ft,7ft,13s,4,5,mph,9°c,100%,WNW,292,Cross/Offshore,NE,47
04/01,12pm,10-16ft,7ft,12s,2,2,mph,15°c,100%,WNW,298,Cross/Offshore,SSW,192
04/01,6pm,9-14ft,6ft,12s,2,3,mph,10°c,100%,WNW,302,Cross/Onshore,N,4
05/01,6am,9-14ft,6ft,13s,3,4,mph,6°c,100%,NW,318,Offshore,SE,126
05/01,12pm,8-13ft,5ft,13s,4,11,mph,13°c,100%,NW,321,Offshore,E,93
05/01,6pm,7-11ft,4.5ft,13s,2,3,mph,8°c,100%,NW,324,Onshore,NNW,327
06/01,6am,5-8ft,3ft,12s,1,1,mph,5°c,100%,NNW,327,Offshore,ESE,122
06/01,12pm,4-6ft,2.5ft,12s,2,2,mph,12°c,100%,NNW,329,Onshore,W,280
06/01,6pm,3-5ft,1.8ft,11s,3,4,mph,7°c,100%,WNW,282,Cross/Offshore,NE,37
07/01,6am,7-11ft,4ft,12s,1,2,mph,5°c,100%,WNW,288,Offshore,E,87
07/01,12pm,8-13ft,5.5ft,12s,3,4,mph,13°c,100%,WNW,288,Cross/Onshore,N,0
07/01,6pm,9-14ft,6ft,12s,3,5,mph,7°c,100%,WNW,287,Cross/Onshore,N,6
08/01,6am,8-13ft,5.5ft,12s,5,6,mph,4°c,100%,WNW,287,Cross/Onshore,NNE,16
08/01,12pm,8-12ft,5.5ft,11s,6,10,mph,13°c,100%,WNW,286,Onshore,NNW,345
08/01,6pm,16-26ft,10ft,19s,4,5,mph,10°c,100%,WNW,284,Onshore,NNW,329
09/01,6am,16-26ft,11.5ft,16s,1,2,mph,11°c,100%,WNW,283,Offshore,ESE,119
09/01,12pm,14-24ft,10.5ft,16s,4,7,mph,16°c,100%,WNW,282,Onshore,W,276
09/01,6pm,14-22ft,9.5ft,15s,9,23,mph,11°c,100%,WNW,285,Onshore,NNW,346
10/01,6am,18-30ft,15ft,15s,6,19,mph,7°c,100%,NW,304,Onshore,N,358
10/01,12pm,16-26ft,13ft,14s,13,21,mph,12°c,100%,NW,306,Onshore,N,360
10/01,6pm,12-18ft,9ft,13s,5,11,mph,8°c,100%,NW,321,Cross/Onshore,N,8
11/01,6am,9-14ft,6.5ft,12s,3,3,mph,5°c,100%,NW,323,Offshore,ESE,101
11/01,12pm,8-12ft,5.5ft,12s,3,5,mph,13°c,100%,NW,325,Offshore,SSE,158
11/01,6pm,8-13ft,5ft,12s,2,2,mph,7°c,100%,WNW,289,Cross/Offshore,NE,47
12/01,6am,12-18ft,7.5ft,14s,3,4,mph,5°c,100%,WNW,292,Offshore,SE,136
12/01,12pm,14-22ft,10ft,16s,2,2,mph,13°c,100%,WNW,289,Offshore,S,173
12/01,6pm,14-22ft,10ft,15s,1,2,mph,6°c,100%,WNW,287,Onshore,N,351
13/01,6am,14-22ft,10ft,15s,7,11,mph,5°c,100%,WNW,285,Offshore,SE,133
13/01,12pm,14-22ft,10.5ft,15s,8,12,mph,10°c,100%,WNW,286,Offshore,SSE,149
13/01,6pm,14-22ft,9.5ft,14s,6,13,mph,10°c,100%,WNW,287,Offshore,SE,143
14/01,6am,16-26ft,12.5ft,15s,9,17,mph,9°c,100%,WNW,293,Offshore,SE,129
14/01,12pm,20-30ft,15ft,16s,12,24,mph,11°c,100%,WNW,293,Offshore,SE,140
14/01,6pm,18-28ft,13.5ft,16s,10,28,mph,12°c,100%,WNW,289,Offshore,S,170
15/01,6am,16-26ft,13ft,15s,9,26,mph,12°c,100%,WNW,284,Offshore,SE,145
15/01,12pm,16-26ft,13ft,14s,10,19,mph,16°c,100%,WNW,286,Cross-shore,SSW,203
15/01,6pm,14-20ft,10ft,13s,9,26,mph,13°c,100%,W,279,Offshore,S,170
16/01,6am,12-18ft,8ft,14s,12,30,mph,12°c,100%,W,270,Offshore,SSE,151
16/01,12pm,10-16ft,8.5ft,13s,17,31,mph,16°c,100%,W,261,Cross/Offshore,S,187
16/01,6pm,12-18ft,10.5ft,11s,12,21,mph,13°c,100%,W,261,Onshore,WSW,239
17/01,6am,12-18ft,8.5ft,12s,4,5,mph,10°c,100%,W,279,Onshore,NNW,330
17/01,12pm,10-16ft,8ft,12s,1,2,mph,15°c,100%,WNW,281,Cross/Onshore,N,5
17/01,6pm,10-16ft,7.5ft,11s,4,5,mph,11°c,100%,WNW,285,Offshore,SE,126
