date,time,range,height,period,wind_mph,wind_kmh,mph,temp,prob,swell_dir,swell_angle,wind,wind_dir,wind_angle
01/01,6am,1-2ft,1.5ft,12s,8,11,mph,12°c,100%,NW,321,Offshore,SSE,163
01/01,12pm,1-2ft,1.3ft,11s,14,14,mph,16°c,100%,NW,323,Offshore,SE,137
01/01,6pm,1-2ft,1.4ft,7s,8,9,mph,14°c,100%,NNE,33,Offshore,SE,136
02/01,6am,1ft,1ft,7s,9,12,mph,11°c,100%,NE,35,Offshore,SSE,151
02/01,12pm,1ft,0.9ft,12s,13,13,mph,15°c,100%,WNW,301,Offshore,SE,126
02/01,6pm,1ft,0.8ft,11s,10,11,mph,12°c,100%,WNW,300,Offshore,ESE,120
03/01,6am,1-2ft,1.5ft,13s,11,15,mph,11°c,100%,NW,305,Offshore,SE,138
03/01,12pm,1-2ft,1.5ft,12s,13,15,mph,15°c,100%,WNW,303,Offshore,SE,125
03/01,6pm,1-2ft,1.5ft,13s,8,10,mph,13°c,100%,NW,305,Cross/Offshore,ESE,107
04/01,6am,2-3ft,2.5ft,14s,7,11,mph,11°c,100%,NW,319,Cross/Offshore,ESE,110
04/01,12pm,2-3ft,2.5ft,14s,10,11,mph,15°c,100%,NW,322,Cross/Offshore,E,96
04/01,6pm,2-3ft,2.5ft,13s,6,7,mph,14°c,100%,NW,325,Cross/Onshore,E,81
05/01,6am,2-3ft,2.5ft,12s,9,11,mph,12°c,100%,NNW,331,Onshore,NNE,33
05/01,12pm,2-3ft,2ft,12s,9,11,mph,13°c,100%,NNW,333,Onshore,NE,39
05/01,6pm,2-3ft,2ft,12s,8,10,mph,13°c,100%,NNW,334,Onshore,NNE,32
06/01,6am,2-3ft,1.9ft,14s,12,15,mph,12°c,100%,NNW,349,Onshore,N,10
06/01,12pm,2-3ft,1.8ft,14s,14,16,mph,14°c,100%,N,349,Onshore,NNE,14
06/01,6pm,2-3ft,1.4ft,13s,14,16,mph,14°c,100%,N,351,Onshore,N,351
07/01,6am,2-3ft,3ft,6s,12,14,mph,13°c,100%,NNE,13,Onshore,NE,54
07/01,12pm,2-4ft,3.5ft,7s,9,9,mph,15°c,100%,NNE,16,Onshore,ENE,64
07/01,6pm,2-4ft,3.5ft,7s,8,9,mph,14°c,100%,NNE,19,Onshore,NE,42
08/01,6am,2-3ft,3ft,7s,10,13,mph,12°c,100%,NNE,19,Onshore,NE,37
08/01,12pm,2-3ft,3ft,7s,10,11,mph,14°c,100%,NNE,22,Onshore,NNE,31
08/01,6pm,2-3ft,3ft,6s,11,13,mph,13°c,100%,NNE,29,Onshore,NNE,24
09/01,6am,3-4ft,3ft,18s,11,14,mph,12°c,100%,NW,309,Onshore,NNE,20
09/01,12pm,2-4ft,3ft,16s,13,15,mph,15°c,100%,NW,307,Onshore,NNE,13
09/01,6pm,2-4ft,3ft,16s,15,17,mph,14°c,100%,NW,307,Onshore,NNE,11
10/01,6am,2-3ft,3.5ft,6s,11,15,mph,14°c,100%,NNE,23,Onshore,NNE,15
10/01,12pm,3-4ft,2.5ft,17s,12,15,mph,16°c,100%,NNW,337,Onshore,NE,35
10/01,6pm,3-5ft,3ft,16s,13,15,mph,14°c,100%,NNW,338,Onshore,NNE,24
11/01,6am,3-5ft,3ft,14s,13,15,mph,13°c,100%,NNW,340,Onshore,NNE,12
11/01,12pm,3-5ft,3ft,13s,12,13,mph,14°c,100%,NNW,341,Onshore,NNE,20
11/01,6pm,3-4ft,3ft,13s,12,15,mph,13°c,100%,NNW,342,Onshore,NNE,15
12/01,6am,2-4ft,2.5ft,12s,11,13,mph,11°c,100%,NNW,348,Onshore,NNE,19
12/01,12pm,2-4ft,3.5ft,7s,10,11,mph,15°c,100%,NNE,21,Onshore,NE,46
12/01,6pm,2-4ft,3ft,8s,4,5,mph,13°c,100%,NNE,22,Cross/Onshore,ENE,69
13/01,6am,2-4ft,2.5ft,15s,5,7,mph,11°c,100%,NW,311,Offshore,ESE,118
13/01,12pm,2-4ft,3ft,14s,10,10,mph,17°c,100%,NW,312,Offshore,SE,137
13/01,6pm,2-3ft,2.5ft,14s,8,10,mph,15°c,100%,NW,311,Offshore,S,190
14/01,6am,3-4ft,3ft,14s,6,7,mph,12°c,100%,NW,318,Offshore,S,191
14/01,12pm,3-4ft,3ft,13s,12,11,mph,17°c,100%,NW,320,Offshore,SSE,166
14/01,6pm,2-4ft,2.5ft,13s,5,6,mph,15°c,100%,NW,323,Offshore,S,176
15/01,6am,4-6ft,4.5ft,16s,4,5,mph,10°c,100%,NNW,331,Offshore,S,182
15/01,12pm,4-6ft,4ft,15s,6,6,mph,17°c,100%,NNW,329,Offshore,SE,135
15/01,6pm,3-5ft,3.5ft,14s,5,5,mph,15°c,100%,NNW,327,Offshore,SE,139
16/01,6am,4-6ft,4.5ft,14s,2,2,mph,10°c,100%,NNW,330,Offshore,SE,131
16/01,12pm,3-5ft,3.5ft,13s,5,3,mph,17°c,100%,NW,320,Cross/Offshore,ESE,113
16/01,6pm,3-4ft,3ft,13s,4,5,mph,15°c,100%,NW,318,Cross-shore,E,89
17/01,6am,3-5ft,3.5ft,15s,6,8,mph,11°c,100%,NNW,343,Cross/Onshore,ENE,78
17/01,12pm,4-6ft,4ft,14s,11,12,mph,16°c,100%,NNW,339,Cross/Offshore,ESE,109
17/01,6pm,3-5ft,3.5ft,14s,6,9,mph,14°c,100%,NNW,335,Cross/Offshore,E,98
18/01,6am,3-4ft,3ft,13s,5,9,mph,12°c,100%,NNW,332,Cross/Offshore,ESE,115
18/01,12pm,2-4ft,2.5ft,13s,9,10,mph,17°c,100%,NNW,332,Offshore,ESE,115
18/01,6pm,2-3ft,2ft,12s,4,6,mph,15°c,100%,NNW,330,Cross-shore,E,87
