Spot,date,time,range,height_ft,swell_dir,swell_angle,period_sec,wind_kmh,wind_dir,wind,wind_angle,temp_°c,Conditions
Nazare,2018-01-01,6am,20-30ft,15.5,WNW,292,15,6,S,Cross/Offshore,186,8,Good
Nazare,2018-01-01,12pm,18-28ft,14.5,WNW,292,15,14,W,Onshore,277,15,Good
Nazare,2018-01-01,6pm,18-26ft,13.5,WNW,293,14,6,WSW,Onshore,253,11,Good
Nazare,2018-02-01,6am,16-26ft,12.5,WNW,297,14,5,SSW,Cross-shore,207,10,Good
Nazare,2018-02-01,12pm,14-24ft,11.5,WNW,297,14,11,WSW,Onshore,258,16,Good
Nazare,2018-02-01,6pm,14-20ft,10.0,WNW,297,13,10,WSW,Onshore,239,14,Good
Nazare,2018-03-01,6am,12-18ft,9.0,WNW,296,12,4,WNW,Onshore,291,14,Good
Nazare,2018-03-01,12pm,14-24ft,8.5,WNW,291,20,8,WNW,Onshore,286,17,Good
Nazare,2018-03-01,6pm,20-30ft,14.0,WNW,296,17,5,W,Onshore,281,14,Good
Nazare,2018-04-01,6am,18-28ft,13.5,WNW,300,16,5,W,Onshore,261,12,Good
Nazare,2018-04-01,12pm,16-24ft,11.5,WNW,300,15,11,WSW,Onshore,250,17,Good
Nazare,2018-04-01,6pm,14-22ft,10.5,WNW,299,14,18,SW,Onshore,232,13,Good
Nazare,2018-05-01,6am,14-22ft,11.0,WNW,293,13,25,SW,Cross/Onshore,214,13,Good
Nazare,2018-05-01,12pm,14-22ft,11.5,WNW,293,13,19,NW,Onshore,319,12,Good
Nazare,2018-05-01,6pm,14-22ft,11.5,WNW,298,13,20,N,Onshore,357,9,Good
Nazare,2018-06-01,6am,16-26ft,13.5,WNW,300,13,22,N,Onshore,349,7,Good
Nazare,2018-06-01,12pm,16-24ft,12.5,WNW,299,13,19,N,Onshore,352,10,Good
Nazare,2018-06-01,6pm,14-24ft,11.5,WNW,302,13,22,NNW,Onshore,341,8,Good
Nazare,2018-07-01,6am,18-28ft,14.0,WNW,304,16,26,N,Onshore,354,7,Good
Nazare,2018-07-01,12pm,16-26ft,13.5,NW,311,14,26,N,Onshore,354,11,Good
Nazare,2018-07-01,6pm,16-24ft,13.0,NW,316,13,26,N,Onshore,351,9,Good
Nazare,2018-08-01,6am,12-18ft,9.5,NW,318,11,6,NE,Offshore,51,4,Good
Nazare,2018-08-01,12pm,9-14ft,6.5,NW,307,11,8,ESE,Offshore,101,11,Good
Nazare,2018-08-01,6pm,8-12ft,3.5,W,273,19,2,W,Onshore,268,6,Good
Nazare,2018-09-01,6am,10-16ft,5.5,W,276,16,18,SSE,Offshore,149,6,Good
Nazare,2018-09-01,12pm,10-16ft,6.0,W,280,16,28,SSE,Offshore,151,8,Good
Nazare,2018-09-01,6pm,12-18ft,7.0,W,279,16,3,SSE,Offshore,147,10,Good
Nazare,2018-10-01,6am,18-28ft,13.0,WNW,288,15,17,WSW,Onshore,259,10,Good
Nazare,2018-10-01,12pm,18-28ft,14.0,WNW,286,15,31,W,Onshore,272,14,Good
Nazare,2018-10-01,6pm,20-30ft,16.0,WNW,291,14,23,NW,Onshore,314,10,Good
Nazare,2018-11-01,6am,20-30ft,16.0,WNW,290,15,25,WNW,Onshore,304,11,Good
Nazare,2018-11-01,12pm,18-28ft,14.5,WNW,292,14,18,NNW,Onshore,328,14,Good
Nazare,2018-11-01,6pm,16-26ft,13.0,WNW,293,14,9,N,Onshore,353,9,Good
Nazare,2018-12-01,6am,12-18ft,8.5,WNW,287,13,4,SE,Offshore,129,6,Good
Nazare,2018-12-01,12pm,10-16ft,6.5,WNW,287,13,9,SSE,Offshore,150,11,Good
Nazare,2018-12-01,6pm,8-13ft,5.5,WNW,285,12,16,SSE,Offshore,167,10,Good
Nazare,2018-01-13,6am,14-20ft,10.0,W,280,13,2,SE,Offshore,133,9,Good
Nazare,2018-01-13,12pm,14-20ft,10.5,WNW,284,13,16,NW,Onshore,317,12,Good
Nazare,2018-01-13,6pm,14-22ft,11.0,WNW,283,13,21,WNW,Onshore,282,9,Good
Nazare,2018-01-14,6am,16-24ft,11.5,WNW,286,14,15,NW,Onshore,324,7,Good
Nazare,2018-01-14,12pm,14-22ft,10.5,WNW,289,13,13,NW,Onshore,317,11,Good
