date,time,range,height,period,wind_mph,wind_kmh,mph,temp,prob,swell_dir,swell_angle,wind,wind_dir,wind_angle
01/01,6am,Plano,5ft,12s,9,9,mph,24°c,100%,E,81,Onshore,NNE,15
01/01,12pm,Plano,5ft,12s,12,13,mph,26°c,100%,E,81,Onshore,NNE,26
01/01,6pm,Plano,5ft,12s,13,16,mph,25°c,100%,ENE,79,Onshore,NNE,29
02/01,6am,Plano,4.5ft,12s,8,9,mph,25°c,100%,E,80,Onshore,NNE,17
02/01,12pm,Plano,4.5ft,12s,13,13,mph,25°c,100%,E,80,Onshore,NE,37
02/01,6pm,Plano,4.5ft,12s,7,8,mph,25°c,100%,E,81,Onshore,NE,38
03/01,6am,Plano,3.5ft,11s,3,6,mph,25°c,100%,E,83,Onshore,N,356
03/01,12pm,Plano,3.5ft,11s,11,10,mph,26°c,100%,E,84,Onshore,ENE,60
03/01,6pm,Plano,3.5ft,11s,10,11,mph,25°c,100%,E,83,Onshore,NE,36
04/01,6am,Plano,3ft,10s,6,7,mph,24°c,100%,E,84,Cross/Onshore,WNW,293
04/01,12pm,Plano,2.5ft,10s,16,18,mph,26°c,100%,E,85,Onshore,NNE,13
04/01,6pm,Plano,2ft,10s,16,20,mph,25°c,100%,E,89,Onshore,N,10
05/01,6am,Plano,1.7ft,10s,13,17,mph,23°c,100%,E,90,Onshore,NW,317
05/01,12pm,Plano,1.6ft,10s,19,21,mph,26°c,100%,E,90,Onshore,NNE,14
05/01,6pm,Plano,3ft,4s,15,18,mph,25°c,100%,NE,38,Onshore,N,9
06/01,6am,Plano,1.9ft,5s,10,12,mph,24°c,100%,NE,55,Offshore,S,176
06/01,12pm,Plano,2.5ft,9s,11,11,mph,26°c,100%,ENE,71,Cross/Onshore,ENE,75
06/01,6pm,Plano,1.9ft,6s,8,10,mph,25°c,100%,NE,56,Onshore,NNE,26
07/01,6am,Plano,1.6ft,6s,3,5,mph,25°c,100%,NE,52,Onshore,NNE,18
07/01,12pm,Plano,1.7ft,6s,12,11,mph,26°c,100%,NE,50,Onshore,NNE,29
07/01,6pm,Plano,1.8ft,6s,11,12,mph,25°c,100%,NE,50,Onshore,NE,44
08/01,6am,Plano,1.5ft,6s,5,5,mph,25°c,100%,NE,55,Cross-shore,W,269
08/01,12pm,Plano,1.9ft,6s,14,15,mph,26°c,100%,NE,48,Onshore,NNE,22
08/01,6pm,Plano,1.1ft,6s,9,11,mph,25°c,100%,ENE,58,Onshore,NE,36
09/01,6am,Plano,1.6ft,6s,1,3,mph,25°c,100%,NE,56,Cross/Onshore,W,279
