date,time,range,height,period,wind_mph,wind_kmh,mph,temp,prob,swell_dir,swell_angle,wind,wind_dir,wind_angle
01/01,6am,3-4ft,4ft,12s,6,6,mph,10°c,100%,WNW,304,Offshore,SW,220
01/01,12pm,3-4ft,4.5ft,11s,6,6,mph,11°c,100%,NW,305,Offshore,SSW,194
01/01,6pm,3-4ft,4.5ft,11s,6,6,mph,12°c,100%,NW,307,Onshore,E,91
02/01,6am,2-3ft,3ft,10s,7,8,mph,10°c,100%,NW,311,Offshore,SSE,149
02/01,12pm,2-3ft,2.5ft,10s,8,9,mph,11°c,100%,NW,312,Offshore,S,183
02/01,6pm,2ft,2ft,10s,5,5,mph,13°c,100%,NW,311,Cross/Offshore,W,275
03/01,6am,3-5ft,4ft,19s,10,10,mph,10°c,100%,WNW,295,Offshore,S,191
03/01,12pm,4-6ft,7.5ft,16s,10,11,mph,12°c,100%,WNW,296,Offshore,W,269
03/01,6pm,4-6ft,7ft,15s,13,16,mph,12°c,100%,WNW,295,Offshore,W,262
04/01,6am,4-6ft,6.5ft,14s,9,11,mph,12°c,100%,WNW,299,Onshore,N,354
04/01,12pm,3-5ft,5.5ft,13s,8,9,mph,12°c,100%,WNW,302,Onshore,N,2
04/01,6pm,4-7ft,6.5ft,13s,9,9,mph,11°c,100%,NW,315,Onshore,NE,39
05/01,6am,4-6ft,5ft,13s,10,11,mph,10°c,100%,NW,321,Onshore,ENE,77
05/01,12pm,3-5ft,4.5ft,12s,11,11,mph,9°c,100%,NW,324,Cross/Onshore,E,99
05/01,6pm,3-4ft,3.5ft,12s,13,13,mph,9°c,100%,NW,320,Onshore,E,86
06/01,6am,2-3ft,2.5ft,11s,6,6,mph,9°c,100%,NW,319,Offshore,S,182
06/01,12pm,1-2ft,2ft,13s,14,21,mph,11°c,100%,WNW,298,Offshore,WSW,252
06/01,6pm,1-2ft,2ft,12s,12,14,mph,12°c,100%,WNW,296,Cross-shore,WNW,298
07/01,6am,2-3ft,2ft,14s,11,12,mph,10°c,100%,WNW,303,Offshore,S,185
07/01,12pm,3-5ft,5.5ft,13s,7,9,mph,12°c,100%,WNW,301,Cross-shore,ESE,119
07/01,6pm,3-5ft,5.5ft,12s,12,13,mph,12°c,100%,WNW,298,Cross/Onshore,E,99
08/01,6am,3-4ft,4.5ft,12s,3,3,mph,12°c,100%,WNW,298,Offshore,S,182
08/01,12pm,3-4ft,4.5ft,12s,2,2,mph,13°c,100%,WNW,300,Offshore,SSW,214
08/01,6pm,3-4ft,3ft,21s,6,7,mph,13°c,100%,NW,306,Cross/Onshore,ESE,102
09/01,6am,6-9ft,10.5ft,17s,13,16,mph,12°c,100%,WNW,300,Offshore,SSW,198
09/01,12pm,5-8ft,9ft,16s,16,21,mph,13°c,100%,WNW,298,Offshore,SSW,199
09/01,6pm,4-7ft,8.5ft,16s,31,42,mph,12°c,100%,WNW,295,Cross/Offshore,WNW,284
10/01,6am,9-15ft,18ft,16s,27,32,mph,12°c,100%,NW,309,Cross/Offshore,WNW,294
10/01,12pm,7-11ft,11.5ft,14s,18,21,mph,12°c,100%,NW,318,Onshore,NNW,342
10/01,6pm,6-10ft,9.5ft,14s,9,10,mph,12°c,100%,NW,319,Onshore,N,10
11/01,6am,4-7ft,6ft,12s,6,6,mph,9°c,100%,NW,325,Offshore,S,189
11/01,12pm,4-6ft,5.5ft,12s,3,4,mph,10°c,100%,NW,319,Offshore,SE,146
11/01,6pm,3-5ft,4.5ft,12s,12,11,mph,11°c,100%,NW,320,Cross/Onshore,E,97
12/01,6am,4-7ft,7ft,14s,8,8,mph,9°c,100%,NW,304,Offshore,SSW,211
12/01,12pm,4-6ft,7ft,14s,6,6,mph,11°c,100%,WNW,301,Offshore,SSW,208
12/01,6pm,5-8ft,8.5ft,15s,5,5,mph,12°c,100%,WNW,302,Cross/Onshore,ESE,107
13/01,6am,4-7ft,7.5ft,14s,9,9,mph,10°c,100%,WNW,299,Offshore,S,176
13/01,12pm,4-7ft,7.5ft,15s,13,16,mph,11°c,100%,WNW,300,Offshore,SSW,202
13/01,6pm,4-7ft,8ft,15s,10,23,mph,13°c,100%,WNW,301,Offshore,S,180
14/01,6am,5-9ft,9.5ft,14s,26,35,mph,11°c,100%,NW,307,Offshore,SSW,196
14/01,12pm,7-11ft,12.5ft,15s,27,42,mph,13°c,100%,WNW,303,Offshore,SSW,199
14/01,6pm,7-11ft,13ft,16s,27,45,mph,13°c,100%,NW,304,Offshore,SSW,203
15/01,6am,6-9ft,10.5ft,15s,28,44,mph,13°c,100%,WNW,300,Offshore,SSW,198
15/01,12pm,5-8ft,9.5ft,15s,20,34,mph,15°c,100%,WNW,301,Offshore,SSW,203
15/01,6pm,4-7ft,5.5ft,14s,6,9,mph,14°c,100%,NW,320,Offshore,SSW,206
16/01,6am,4-7ft,7.5ft,13s,22,37,mph,14°c,100%,NW,307,Offshore,S,191
16/01,12pm,5-8ft,7.5ft,14s,18,29,mph,15°c,100%,NW,308,Offshore,S,174
16/01,6pm,4-7ft,7ft,14s,15,19,mph,15°c,100%,NW,308,Offshore,SSE,160
17/01,6am,4-6ft,6ft,13s,18,30,mph,13°c,100%,WNW,304,Offshore,W,266
17/01,12pm,5-7ft,9ft,13s,28,35,mph,12°c,100%,WNW,301,Cross/Offshore,WNW,290
17/01,6pm,4-7ft,9ft,12s,24,29,mph,11°c,100%,WNW,302,Cross/Offshore,WNW,295
18/01,6am,4-6ft,7ft,11s,14,17,mph,10°c,100%,NW,308,Cross/Offshore,SE,138
18/01,12pm,4-6ft,6ft,11s,11,22,mph,11°c,100%,NW,310,Offshore,SSE,166
18/01,6pm,4-6ft,6ft,12s,15,27,mph,13°c,100%,NW,311,Cross-shore,WNW,296
19/01,6am,3-4ft,5ft,6s,24,27,mph,10°c,100%,NE,35,Onshore,NE,46
19/01,12pm,4-6ft,7ft,8s,26,29,mph,9°c,100%,NNE,19,Onshore,NE,45
19/01,6pm,4-7ft,7.5ft,8s,30,34,mph,9°c,100%,NNE,19,Onshore,NE,42
20/01,6am,4-6ft,7ft,7s,27,30,mph,8°c,100%,NNE,28,Onshore,ENE,61
20/01,12pm,4-6ft,6.5ft,8s,19,20,mph,7°c,100%,NNE,24,Onshore,ENE,65
20/01,6pm,3-5ft,4.5ft,7s,17,22,mph,8°c,100%,NNE,17,Onshore,ENE,62
21/01,6am,3-5ft,4ft,18s,11,13,mph,8°c,100%,WNW,299,Onshore,ENE,57
21/01,12pm,3-4ft,4.5ft,16s,23,27,mph,8°c,100%,WNW,297,Onshore,ENE,76
21/01,6pm,3-4ft,4ft,16s,18,23,mph,10°c,100%,WNW,297,Onshore,ENE,74
22/01,6am,2-4ft,3.5ft,15s,27,32,mph,11°c,100%,WNW,300,Onshore,E,84
22/01,12pm,2-4ft,3ft,14s,10,11,mph,10°c,100%,WNW,303,Onshore,E,92
22/01,6pm,2-4ft,3.5ft,14s,7,7,mph,10°c,100%,NW,307,Cross/Onshore,ESE,114
23/01,6am,2-4ft,3ft,13s,8,9,mph,10°c,100%,NW,313,Cross/Offshore,SE,140
23/01,12pm,2-3ft,3ft,12s,5,5,mph,10°c,100%,NW,314,Onshore,E,88
23/01,6pm,2-3ft,2.5ft,12s,8,12,mph,12°c,100%,NW,316,Cross-shore,ESE,123
24/01,6am,2ft,1.9ft,11s,15,22,mph,11°c,100%,NW,316,Offshore,S,184
24/01,12pm,1-2ft,1.7ft,11s,8,15,mph,12°c,100%,NW,313,Offshore,SSW,196
24/01,6pm,1-2ft,1.4ft,10s,4,5,mph,13°c,100%,NW,316,Cross/Offshore,SE,139
25/01,6am,1-2ft,1.6ft,13s,11,14,mph,10°c,100%,WNW,293,Offshore,S,180
25/01,12pm,1-2ft,1.6ft,13s,11,18,mph,12°c,100%,WNW,289,Offshore,S,172
25/01,6pm,1-2ft,1.2ft,14s,9,14,mph,12°c,100%,NW,323,Offshore,S,172
26/01,6am,2-3ft,2ft,13s,10,11,mph,11°c,100%,NW,322,Offshore,WSW,252
26/01,12pm,2-3ft,2.5ft,12s,6,7,mph,11°c,100%,NW,322,Offshore,SSW,202
26/01,6pm,2-4ft,3ft,15s,6,8,mph,12°c,100%,WNW,304,Cross/Offshore,SE,126
27/01,6am,3-4ft,4.5ft,13s,26,39,mph,12°c,100%,WNW,301,Offshore,SSW,194
27/01,12pm,3-5ft,6.5ft,13s,27,41,mph,14°c,100%,WNW,295,Offshore,SSW,208
27/01,6pm,4-6ft,6.5ft,13s,17,27,mph,15°c,100%,WNW,302,Offshore,SSW,212
28/01,6am,5-8ft,11ft,12s,23,36,mph,13°c,100%,NW,307,Cross/Offshore,W,278
28/01,12pm,7-11ft,14ft,13s,20,30,mph,13°c,100%,NW,312,Cross/Offshore,W,278
28/01,6pm,8-12ft,14ft,14s,14,23,mph,12°c,100%,NW,313,Cross/Offshore,WNW,284
29/01,6am,7-11ft,12.5ft,15s,7,8,mph,11°c,100%,NW,313,Offshore,SSW,205
