date,time,range,height,period,wind_mph,wind_kmh,mph,temp,prob,swell_dir,swell_angle,wind,wind_dir,wind_angle
01/01,6am,7-11ft,7.5ft,16s,17,20,mph,23°c,100%,NW,312,Offshore,ESE,108
01/01,12pm,6-10ft,7ft,15s,12,13,mph,24°c,100%,NW,312,Cross/Offshore,E,82
01/01,6pm,6-10ft,7ft,15s,9,10,mph,24°c,100%,NW,314,Onshore,NE,35
02/01,6am,5-8ft,6ft,14s,7,8,mph,23°c,100%,NW,313,Onshore,NNE,32
02/01,12pm,5-8ft,5.5ft,13s,10,11,mph,24°c,100%,NW,314,Cross/Onshore,NE,46
02/01,6pm,5-7ft,5.5ft,13s,19,22,mph,23°c,100%,NW,315,Cross/Onshore,NE,38
03/01,6am,4-7ft,5ft,12s,25,28,mph,23°c,100%,NW,319,Cross/Offshore,ENE,74
03/01,12pm,5-8ft,6.5ft,12s,23,26,mph,23°c,100%,NNW,345,Cross/Offshore,ENE,70
03/01,6pm,5-8ft,6.5ft,11s,24,27,mph,24°c,100%,NNW,346,Cross/Offshore,ENE,69
04/01,6am,5-7ft,6ft,11s,27,32,mph,23°c,100%,N,0,Cross/Offshore,ENE,68
04/01,12pm,4-7ft,6.5ft,11s,28,33,mph,24°c,100%,N,4,Cross/Offshore,ENE,78
04/01,6pm,4-6ft,5.5ft,11s,26,30,mph,24°c,100%,N,358,Cross/Offshore,E,80
05/01,6am,4-5ft,4.5ft,11s,24,29,mph,24°c,100%,N,6,Cross/Offshore,ENE,72
05/01,12pm,3-5ft,4ft,10s,22,27,mph,24°c,100%,N,5,Cross/Offshore,E,80
05/01,6pm,3-5ft,4ft,10s,24,29,mph,24°c,100%,N,10,Cross/Offshore,ENE,78
06/01,6am,2-3ft,2.5ft,10s,27,32,mph,24°c,100%,N,359,Cross/Offshore,E,80
06/01,12pm,2-3ft,2ft,10s,27,32,mph,24°c,100%,N,356,Cross/Offshore,E,81
06/01,6pm,2-3ft,3.5ft,9s,23,28,mph,24°c,100%,NE,40,Cross/Offshore,ENE,79
07/01,6am,2-3ft,1.6ft,12s,29,34,mph,24°c,100%,NW,311,Cross/Offshore,ENE,76
07/01,12pm,2-3ft,1.4ft,16s,29,35,mph,24°c,100%,NW,316,Cross/Offshore,ENE,76
07/01,6pm,2-4ft,1.9ft,15s,27,32,mph,24°c,100%,NW,316,Cross/Offshore,ENE,74
08/01,6am,2-4ft,2.5ft,12s,29,35,mph,23°c,100%,NW,315,Cross/Offshore,ENE,69
08/01,12pm,2-3ft,4.5ft,10s,28,34,mph,24°c,100%,NE,42,Cross/Offshore,E,82
08/01,6pm,2-3ft,4.5ft,10s,27,31,mph,23°c,100%,NE,42,Cross/Offshore,ENE,74
09/01,6am,2-4ft,4.5ft,10s,27,32,mph,24°c,100%,NE,41,Cross/Offshore,ENE,76
09/01,12pm,3-4ft,5.5ft,10s,32,38,mph,24°c,100%,NE,42,Cross/Offshore,E,79
09/01,6pm,3-4ft,5.5ft,10s,30,35,mph,24°c,100%,NE,41,Cross/Offshore,ENE,74
10/01,6am,3-5ft,3ft,16s,28,34,mph,23°c,100%,NW,313,Cross/Offshore,ENE,77
10/01,12pm,4-6ft,3.5ft,15s,30,35,mph,24°c,100%,NW,312,Cross/Offshore,ENE,77
10/01,6pm,4-7ft,4ft,18s,29,35,mph,24°c,100%,NW,313,Cross/Offshore,ENE,76
11/01,6am,5-8ft,5ft,16s,32,39,mph,24°c,100%,NW,313,Cross/Offshore,E,81
11/01,12pm,4-7ft,4.5ft,15s,33,41,mph,24°c,100%,NW,313,Offshore,E,91
11/01,6pm,4-6ft,3.5ft,14s,28,36,mph,24°c,100%,NW,313,Offshore,E,99
12/01,6am,3-4ft,2.5ft,13s,33,42,mph,24°c,100%,NW,313,Offshore,ESE,102
12/01,12pm,3-4ft,2ft,16s,30,38,mph,24°c,100%,NW,312,Offshore,ESE,109
12/01,6pm,3-5ft,2.5ft,16s,23,29,mph,23°c,100%,NW,311,Offshore,ESE,107
13/01,6am,3-4ft,2.5ft,14s,27,35,mph,24°c,100%,NW,309,Offshore,ESE,103
13/01,12pm,2-4ft,2ft,14s,31,38,mph,24°c,100%,NW,309,Offshore,E,98
13/01,6pm,2-3ft,1.8ft,13s,28,36,mph,24°c,100%,NW,309,Offshore,E,96
14/01,6am,2-3ft,1.4ft,13s,27,35,mph,24°c,100%,NW,309,Offshore,E,97
14/01,12pm,2ft,4ft,10s,30,37,mph,24°c,100%,NE,48,Offshore,E,92
14/01,6pm,2-3ft,4ft,10s,28,36,mph,24°c,100%,NE,47,Offshore,E,94
15/01,6am,1-2ft,3ft,8s,24,30,mph,23°c,100%,NE,38,Offshore,E,89
15/01,12pm,2ft,3.5ft,9s,26,32,mph,24°c,100%,NE,46,Offshore,E,89
15/01,6pm,1-2ft,2.5ft,8s,23,28,mph,23°c,100%,NNE,31,Offshore,E,97
16/01,6am,1-2ft,2.5ft,9s,15,19,mph,23°c,100%,NE,40,Offshore,ESE,108
16/01,12pm,1-2ft,1.8ft,7s,14,16,mph,24°c,100%,NNE,30,Offshore,E,99
16/01,6pm,1-2ft,1.7ft,7s,8,9,mph,23°c,100%,NNE,30,Cross/Offshore,ENE,76
17/01,6am,1-2ft,1.7ft,7s,15,18,mph,23°c,100%,NNE,24,Onshore,N,5
17/01,12pm,3-4ft,5ft,7s,21,24,mph,23°c,100%,N,3,Onshore,NNE,30
17/01,6pm,6-9ft,9ft,10s,21,22,mph,22°c,100%,NNW,341,Onshore,NNE,32
18/01,6am,6-9ft,8.5ft,11s,20,22,mph,22°c,100%,NNW,346,Cross/Onshore,NE,50
18/01,12pm,6-9ft,8ft,11s,20,21,mph,22°c,100%,NNW,348,Cross/Onshore,NE,44
18/01,6pm,5-8ft,7.5ft,11s,21,24,mph,22°c,100%,N,350,Cross/Onshore,NE,47
19/01,6am,5-7ft,6.5ft,11s,22,25,mph,22°c,100%,N,353,Cross/Offshore,ENE,75
