date,time,range,height,period,wind_mph,wind_kmh,mph,temp,prob,swell_dir,swell_angle,wind,wind_dir,wind_angle
01/01,6am,5-7ft,2.5ft,18s,4,5,mph,25°c,100%,SW,216,Cross/Offshore,NW,319
01/01,12pm,4-7ft,2.5ft,18s,7,7,mph,27°c,100%,SW,216,Onshore,SW,214
01/01,6pm,4-6ft,2.5ft,18s,10,13,mph,27°c,100%,SW,215,Cross/Onshore,W,277
02/01,6am,4-6ft,2.5ft,16s,5,6,mph,25°c,100%,SW,214,Offshore,NW,326
02/01,12pm,4-6ft,2.5ft,16s,12,14,mph,28°c,100%,SSW,213,Onshore,WSW,253
02/01,6pm,4-7ft,2.5ft,16s,10,13,mph,27°c,100%,SSW,212,Cross/Onshore,W,273
03/01,6am,4-6ft,2.5ft,12s,6,7,mph,25°c,100%,S,191,Cross-shore,WNW,296
03/01,12pm,4-6ft,2ft,16s,10,12,mph,28°c,100%,S,190,Onshore,W,264
03/01,6pm,5-7ft,3ft,15s,10,13,mph,27°c,100%,SSW,201,Cross/Onshore,W,277
04/01,6am,4-6ft,2.5ft,14s,5,5,mph,25°c,100%,SSW,193,Offshore,NE,46
04/01,12pm,5-8ft,3.5ft,13s,7,8,mph,27°c,100%,SSW,199,Onshore,SSW,208
04/01,6pm,5-7ft,3ft,13s,5,6,mph,27°c,100%,SSW,199,Cross/Onshore,W,277
05/01,6am,4-6ft,2.5ft,13s,6,7,mph,24°c,100%,SSW,201,Offshore,NE,34
05/01,12pm,3-5ft,2.5ft,13s,7,7,mph,27°c,100%,SSW,202,Onshore,SSW,211
05/01,6pm,3-5ft,2ft,12s,4,4,mph,26°c,100%,SSW,202,Onshore,SW,223
06/01,6am,3-4ft,1.8ft,12s,5,5,mph,24°c,100%,SSW,200,Offshore,ENE,68
06/01,12pm,3-4ft,1.7ft,12s,7,6,mph,27°c,100%,SSW,200,Onshore,SSE,152
06/01,6pm,3-4ft,1.8ft,12s,2,2,mph,25°c,100%,SSW,199,Onshore,S,187
07/01,6am,3-4ft,1.7ft,12s,6,7,mph,24°c,100%,SSW,201,Offshore,E,86
07/01,12pm,2-4ft,1.6ft,12s,10,10,mph,28°c,100%,SSW,200,Onshore,SSE,151
07/01,6pm,2-4ft,1.5ft,12s,3,3,mph,26°c,100%,SSW,200,Onshore,W,270
08/01,6am,2-3ft,1.2ft,11s,6,6,mph,24°c,100%,SSW,204,Offshore,N,11
08/01,12pm,2-3ft,1ft,15s,11,12,mph,28°c,100%,SW,219,Onshore,WSW,256
08/01,6pm,2-3ft,0.9ft,15s,1,2,mph,26°c,100%,SW,217,Onshore,SW,232
09/01,6am,2ft,0.9ft,13s,3,3,mph,24°c,100%,SW,220,Offshore,N,353
09/01,12pm,2-3ft,0.9ft,18s,6,4,mph,28°c,100%,SW,218,Onshore,SSW,211
09/01,6pm,2-3ft,0.8ft,18s,5,6,mph,26°c,100%,SW,221,Cross/Onshore,W,276
10/01,6am,2-3ft,0.8ft,17s,3,4,mph,24°c,100%,SW,224,Offshore,NNE,24
10/01,12pm,2-3ft,1.3ft,10s,6,5,mph,27°c,100%,S,191,Onshore,S,189
10/01,6pm,2-4ft,1.2ft,17s,3,4,mph,26°c,100%,SW,221,Onshore,SW,226
11/01,6am,2-3ft,1.4ft,9s,5,6,mph,25°c,100%,S,186,Offshore,NNW,339
11/01,12pm,2-3ft,1ft,16s,8,7,mph,28°c,100%,SW,217,Onshore,SSE,151
11/01,6pm,2-4ft,1.1ft,16s,3,3,mph,26°c,100%,SW,215,Onshore,SE,145
12/01,6am,2-3ft,1ft,15s,4,4,mph,25°c,100%,SW,217,Offshore,NNE,14
12/01,12pm,2-3ft,1ft,15s,8,8,mph,28°c,100%,SW,217,Onshore,S,179
12/01,6pm,2-4ft,1.2ft,15s,5,5,mph,27°c,100%,SW,216,Onshore,W,261
13/01,6am,3-4ft,1.5ft,18s,4,4,mph,25°c,100%,S,176,Offshore,NE,49
13/01,12pm,3-5ft,1.7ft,18s,9,9,mph,28°c,100%,S,176,Onshore,S,180
13/01,6pm,3-5ft,2ft,16s,6,6,mph,27°c,100%,S,177,Onshore,W,268
14/01,6am,4-6ft,2.5ft,16s,4,4,mph,26°c,100%,S,177,Offshore,NNE,26
14/01,12pm,4-6ft,2.5ft,15s,8,7,mph,29°c,100%,S,177,Onshore,S,191
14/01,6pm,3-5ft,2ft,15s,6,6,mph,28°c,100%,S,177,Onshore,W,261
15/01,6am,4-6ft,1.9ft,18s,2,2,mph,26°c,100%,SW,218,Offshore,NNE,30
15/01,12pm,3-5ft,2ft,13s,9,9,mph,29°c,100%,S,178,Onshore,SSW,192
15/01,6pm,3-5ft,2ft,13s,6,7,mph,28°c,100%,S,178,Onshore,W,262
