date,time,range,height,period,wind_mph,wind_kmh,mph,temp,prob,swell_dir,swell_angle,wind,wind_dir,wind_angle
01/01,6am,1ft,0.8ft,9s,8,11,mph,12°c,100%,W,279,Onshore,SSE,163
01/01,12pm,0-1ft,0.6ft,8s,14,14,mph,16°c,100%,W,279,Cross-shore,SE,137
01/01,6pm,0-1ft,0.6ft,10s,8,9,mph,14°c,100%,WNW,284,Cross-shore,SE,136
02/01,6am,0-1ft,0.5ft,12s,9,12,mph,11°c,100%,WNW,298,Cross/Onshore,SSE,151
02/01,12pm,1ft,0.7ft,12s,13,13,mph,15°c,100%,WNW,293,Cross/Offshore,SE,126
02/01,6pm,1ft,0.8ft,11s,10,11,mph,12°c,100%,WNW,292,Cross/Offshore,ESE,120
03/01,6am,1ft,0.8ft,11s,11,15,mph,11°c,100%,WNW,290,Cross-shore,SE,138
03/01,12pm,1ft,1.1ft,12s,13,15,mph,15°c,100%,WNW,296,Cross/Offshore,SE,125
03/01,6pm,1ft,1.1ft,12s,8,10,mph,13°c,100%,WNW,296,Offshore,ESE,107
04/01,6am,1ft,0.9ft,11s,7,11,mph,11°c,100%,WNW,294,Offshore,ESE,110
04/01,12pm,1ft,0.8ft,11s,10,11,mph,15°c,100%,WNW,291,Offshore,E,96
04/01,6pm,0-1ft,0.6ft,11s,6,7,mph,14°c,100%,WNW,290,Offshore,E,81
05/01,6am,Plano,1ft,12s,9,11,mph,12°c,100%,NNW,332,Offshore,NNE,33
05/01,12pm,Plano,3.5ft,5s,9,11,mph,13°c,100%,NE,55,Offshore,NE,39
05/01,6pm,Plano,3ft,5s,8,10,mph,13°c,100%,NE,56,Offshore,NNE,32
06/01,6am,Plano,3.5ft,5s,12,15,mph,12°c,100%,NE,41,Offshore,N,10
06/01,12pm,Plano,3.5ft,5s,14,16,mph,14°c,100%,NE,44,Offshore,NNE,14
06/01,6pm,Plano,3.5ft,5s,14,16,mph,14°c,100%,NE,39,Offshore,N,351
07/01,6am,Plano,4ft,5s,12,14,mph,13°c,100%,NE,36,Offshore,NE,54
07/01,12pm,0-1ft,0.6ft,12s,9,9,mph,15°c,100%,WNW,292,Offshore,ENE,64
07/01,6pm,0-1ft,0.6ft,11s,8,9,mph,14°c,100%,WNW,291,Offshore,NE,42
08/01,6am,1ft,0.7ft,11s,10,13,mph,12°c,100%,WNW,292,Offshore,NE,37
08/01,12pm,1ft,0.9ft,11s,10,11,mph,14°c,100%,WNW,297,Offshore,NNE,31
08/01,6pm,1ft,0.9ft,11s,11,13,mph,13°c,100%,WNW,298,Offshore,NNE,24
09/01,6am,1ft,1.4ft,18s,11,14,mph,12°c,100%,NW,306,Offshore,NNE,20
09/01,12pm,1ft,1.6ft,17s,13,15,mph,15°c,100%,WNW,303,Offshore,NNE,13
09/01,6pm,1-2ft,1.7ft,16s,15,17,mph,14°c,100%,WNW,302,Offshore,NNE,11
10/01,6am,1-2ft,1.6ft,15s,11,15,mph,14°c,100%,WNW,299,Offshore,NNE,15
10/01,12pm,1-2ft,1.5ft,14s,12,15,mph,16°c,100%,WNW,297,Offshore,NE,35
10/01,6pm,1ft,1.4ft,14s,13,15,mph,14°c,100%,WNW,295,Offshore,NNE,24
11/01,6am,1ft,1.1ft,13s,13,15,mph,13°c,100%,WNW,293,Offshore,NNE,12
